"pmid","decision","layer","reason","citation_chase","language_exclude"
"994201","exclude","none","leukemia epidemiology; typhoid only incidental","no","no"
"34745448","exclude","none","mosquito-borne disease awareness qualitative; typhoid incidental","no","no"
"34411120","exclude","none","fowl Gallinarum comparative genomics; not human","no","no"
"24973945","exclude","none","surgical anastomosis technique case-series; typhoid incidental","no","no"
"23637626","exclude","none","Salmonella gene colonization animal study; molecular","no","no"
"22144534","exclude","none","traveler pretravel-healthcare consortium; special population","no","no"
"7703005","exclude","none","Salmonella food-trade review; non-typhoid","no","no"
"37341307","exclude","none","travel vaccine priority review; incidence estimates only","no","no"
"37174295","exclude","none","Salmonella food-safety review; not diagnostics","no","no"
"36009598","exclude","none","military medicine history review; typhoid incidental","no","no"
"34744469","exclude","none","anencephaly risk-factor case-control; typhoid incidental","no","no"
"34268683","exclude","none","temperature infectious-diarrhea meta-analysis; typhoid incidental","yes","no"
"31771636","exclude","none","S. Dublin cattle host-cell interaction; not human","no","no"
"29541156","exclude","none","Coptidis rhizoma phytochemistry review; typhoid incidental","no","no"
"21148205","exclude","none","Skp chaperone murine infection molecular; not human","no","no"
"19201885","exclude","none","MyD88 mouse Salmonella immunity; not human","no","no"
"17052666","exclude","none","marmoset immune-response method; typhoid vaccine incidental","no","no"
"11450623","exclude","none","single-patient murine typhus case report; German","no","yes"
"11038127","exclude","none","non-typhoid Salmonella source characterization; not typhoid","no","no"
"41832415","maybe","L3","household study reports S. typhi positivity in humans","no","no"
"40132321","exclude","none","microarray-patch vaccine prioritization; no diagnostics","no","no"
"39211323","exclude","none","MarT transcriptional regulator molecular study; not diagnostics","no","no"
"39100916","exclude","none","metal Schiff base complex antibacterial; in-vitro","no","no"
"38938026","exclude","none","goat somatostatin DNA-vaccine growth; not human","no","no"
"37192598","exclude","none","metallogel antibacterial diode fabrication; in-vitro","no","no"
"35608808","exclude","none","usnic acid derivatives antimicrobial; in-vitro","no","no"
"35019512","exclude","none","silver nanoparticle antimicrobial biocompatibility; in-vitro","no","no"
"32765193","exclude","none","Cassia heartwood extract antibacterial; in-vitro","no","no"
"25134903","exclude","none","flies as mechanical bacterial vectors; not diagnostics","no","no"
"22583961","exclude","none","medicinal plant extract antimicrobial; in-vitro","no","no"
"16690235","exclude","none","Sideritis essential oil antibacterial; in-vitro","no","no"
"27942194","maybe","L3","AUFI etiology; enteric fever positivity among febrile","no","no"
"41383612","exclude","none","Ty21a bladder-cancer immunotherapy mouse; not diagnostics","no","no"
"40540516","exclude","none","qualitative disease-perception study; typhoid perception only","no","no"
"35891666","exclude","none","fowl typhoid poultry vaccine efficacy; not human","no","no"
"35336154","exclude","none","non-typhoid Salmonella quinolone-resistance genomics; not typhoid","no","no"
"36943823","exclude","none","pandemic vaccine historical review; typhoid incidental","no","no"
"32714882","exclude","none","malaria-bacterial coinfection mouse immunology; not typhoid","no","no"
"31839371","exclude","none","pediatric surgical-workforce systematic review; typhoid perforation incidental","yes","no"
"27794508","exclude","none","fern extract antimicrobial anti-inflammatory; in-vitro","no","no"
"26359113","exclude","none","typhoid vaccine inflammation neuroscience model; not diagnostics","no","no"
"24548159","exclude","none","duckling Salmonella isolation; not human typhoid","no","no"
"24534013","exclude","none","typhoid vaccine inflammation memory study; not diagnostics","no","no"
"23638062","exclude","none","infectious disease sex-bias epidemiology; typhoid incidental","no","no"
"23456644","exclude","none","pediatric acute-abdomen management review; typhoid incidental","no","no"
"23357385","exclude","none","fowl Gallinarum T6SS molecular study; not human","no","no"
"22350868","exclude","none","returned-traveller thrombocytopenia study; special population","no","no"
"22212092","exclude","none","prohibitin platelet-aggregation molecular study; typhoid incidental","no","no"
"21045358","exclude","none","small-intestine perforation surgical series; typhoid cause incidental","no","no"
"20195474","exclude","none","non-typhoid Salmonella AMR integrons; molecular","no","no"
"18363239","exclude","none","cell imaging techniques review; not diagnostics","no","no"
"18329764","exclude","none","cattle Salmonella vaccine cross-protection; not human","no","no"
"17364505","exclude","none","poultry Salmonella vaccine review; not human","no","no"
"39989544","exclude","none","tribal disease-burden profile; typhoid admission counts only","no","no"
"36875126","exclude","none","antibody avidity measurement tool; typhoid vaccinee sample","no","no"
"32308221","exclude","none","imported infections case-mix; typhoid few incidental cases","no","no"
"23170225","exclude","none","Salmonella entry-mechanism pathogenesis review; not diagnostics","no","no"
"21910900","exclude","none","adolescent autopsy mortality causes; typhoid incidental","no","no"
"19015253","exclude","none","IL-15 mouse Salmonella innate immunity; not human","no","no"
"17057096","exclude","none","Salmonella dendritic-cell evasion mouse study; molecular","no","no"
"12143191","exclude","none","small-intestine perforation case-series review; typhoid incidental","no","no"
"9126993","exclude","none","Salmonella T-cell epitope mouse immunology; not human","no","no"
"3464761","exclude","none","refugee patient case-mix; special-population typhoid incidental","no","no"
"12282675","exclude","none","AIDS news item; no typhoid content","no","no"
"63195","exclude","none","German Salmonella R-antigen antibody serology; not diagnostics","no","yes"
"41554908","exclude","none","cerium oxide nanoparticle antimicrobial; in-vitro","no","no"
"37969790","exclude","none","Curcuma zedoaria extract antibacterial; in-vitro","no","no"
"34223092","exclude","none","carbapenem resistance dissemination genomics; not typhoid diagnostics","no","no"
"20877206","exclude","none","Euphorbia extract antibacterial antifungal; in-vitro","no","no"
"15382736","exclude","none","point-of-use water treatment evaluation; not diagnostics","no","no"
"41673440","exclude","none","probiotic LAB antimicrobial; in-vitro","no","no"
"40314908","exclude","none","postbiotic wound-healing rat study; not diagnostics","no","no"
"37894072","exclude","none","probiotic anti-inflammatory mouse study; in-vitro animal","no","no"
"37780640","exclude","none","medicinal plant antibacterial screening; in-vitro","no","no"
"37324561","exclude","none","silver nanoparticle olive-extract antibacterial; in-vitro","no","no"
"35042282","exclude","none","medicinal plant extracts antibacterial; in-vitro","no","no"
"26540104","exclude","none","pediatric antibiotic prescribing audit; enteric fever incidental","no","no"
"41256796","exclude","none","palm nectar probiotic screening; in-vitro","no","no"
"40082328","exclude","none","antibacterial nanoparticle screen S typhi test strain","no","no"
"36762206","exclude","none","molecular DHQ1 enzyme inhibitor structural study","no","no"
"35926645","exclude","none","copper oxide nanoparticle antibacterial screen","no","no"
"32968683","maybe","L3","Nigeria WASH population reports Salmonella typhi stool positivity","no","no"
"29276051","exclude","none","WHO antibiotic-resistance priority list review","no","no"
"21444629","exclude","none","prostate cancer Ty21a vaccine vector","no","no"
"14636084","exclude","none","combined hepatitis vaccine immunogenicity review","no","no"
"31739102","exclude","none","anthelmintic phytochemistry Acacia not diagnostic","no","no"
"39424571","exclude","none","praziquantel vaccine response trial schoolchildren","no","no"
"39832591","exclude","none","selenium nanoparticle antimicrobial screen","no","no"
"34495157","exclude","none","antibacterial from industrial waste bacteria screen","no","no"
"30288618","exclude","none","silver nanoparticle pomegranate antibacterial screen","no","no"
"29187917","exclude","none","ESBL wound infection AMR profiling","no","no"
"38270070","exclude","none","Croatian WWII infectious disease history","no","yes"
"35897222","exclude","none","French surgical intestinal perforation series Widal incidental","no","no"
"29861180","exclude","none","in silico peptide vaccine design STyphi","no","no"
"26900129","exclude","none","Ebola traditional healers ethnobotany typhoid symptom","no","no"
"22156570","exclude","none","travel volunteers vaccination coverage survey","no","no"
"9279609","exclude","none","historical Netherlands mortality epidemiologic transition","no","no"
"2266027","exclude","none","title only Nicaragua no typhoid content","no","no"
"40068234","exclude","none","TCM granule chemistry metabolomics not typhoid","no","no"
"39290690","exclude","none","WASH risk factors childhood diarrhea Zimbabwe","no","no"
"34586760","exclude","none","tumorigenic bacteria colorectal cancer mechanism review","no","no"
"34017771","exclude","none","HPV vaccine knowledge survey typhoid incidental","no","no"
"25794902","exclude","none","PCR differentiate Salmonella Enteritidis vaccine strains poultry","no","no"
"23510245","exclude","none","non-typhoid Salmonella chronic GI sequelae","no","no"
"22943267","exclude","none","pre-travel history vaccination reliability study","no","no"
"21484910","exclude","none","typhoid vaccine antibody response CRP inflammation","no","no"
"22022668","exclude","none","foodborne non-typhoid Salmonella wedding outbreak","no","no"
"38443850","exclude","none","nanocomposite antimicrobial antisnail wheat growth","no","no"
"30569392","exclude","none","benzamide synthesis antimicrobial anticancer screen","no","no"
"26555289","exclude","none","ruthenium complex DNA-binding antimicrobial screen","no","no"
"25312166","exclude","none","bush tea antimicrobial screen S typhi","no","no"
"21401611","exclude","none","Hofmeisteria essential oil antimicrobial screen","no","no"
"20074095","exclude","none","travel cerebro-meningeal infections case series S typhi","no","no"
"10377160","exclude","none","oral vaccine immunogenicity Ty21a cholera","no","no"
"42303009","exclude","none","zeta potential method cell-surface interaction","no","no"
"42060055","exclude","none","probiotic curcuma against Salmonella mouse study","no","no"
"40938821","exclude","none","Moringa antimicrobial antidiarrheal phytochemical screen","no","no"
"39696555","exclude","none","soil bacteria secondary metabolite antimicrobial screen","no","no"
"39036470","exclude","none","enteric bacteria cancer patients AMR special population","no","no"
"35943630","exclude","none","Mentha essential oil antimicrobial screen","no","no"
"33921810","exclude","none","silver nanoparticle Otostegia antibacterial screen","no","no"
"33578186","exclude","none","sanitation pathogen-flow modeling DALYs WASH","no","no"
"32063983","exclude","none","Solanum antimicrobial phytochemical screen","no","no"
"24994773","exclude","none","Streptomyces taxonomy bacteriocin S typhi target","no","no"
"42323619","exclude","none","Cleistanthus plant antibacterial synergy screen","no","no"
"42255150","exclude","none","zinc pyrazole complex antimicrobial screen","no","no"
"41148731","exclude","none","Thai flower antibacterial enteric bacteria screen","no","no"
"40753352","exclude","none","ZnO nanoparticle antibacterial photocatalytic screen","no","no"
"38066229","exclude","none","chromone sulfonamide antibacterial MDR screen","no","no"
"38036302","exclude","none","benzothiazole acetamide antimicrobial screen","no","no"
"27421857","exclude","none","wastewater chlorine UV disinfection kinetics","no","no"
"21867554","exclude","none","Cameroon medicinal plant antimicrobial screen","no","no"
"42204183","exclude","none","WASH conditions waterborne disease association India","no","no"
"39719110","maybe","L3","acute febrile illness etiology Salmonella positivity Bamako","no","no"
"35684301","exclude","none","silver nanoparticle antimicrobial mercury sensor","no","no"
"35532215","exclude","none","Salmonella flagellar biogenesis molecular mechanism","no","no"
"35008060","exclude","none","travel volunteers Cambodia health problems","no","no"
"33803844","exclude","none","food-chain Salmonella AMR genomics review","no","no"
"28838752","exclude","none","Malaysia child mortality GBD transition burden","no","no"
"25576895","exclude","none","ethnopharmacology HIV opportunistic diseases Gabon","no","no"
"25128737","exclude","none","Salmonella pathogenicity island interactome virulence","no","no"
"385769","exclude","none","Salmonella typhimurium gallinarum plasmid virulence chickens","no","no"
"41360615","exclude","none","community-acquired pneumonia prescribing Pakistan qualitative","no","no"
"40132043","maybe","L3","Thailand hospital surveillance confirmed typhoid paratyphi incidence","no","no"
"35381821","maybe","L3","scrub typhus AFI cohort also tested typhoid","no","no"
"29643891","exclude","none","spring water quality associated diseases Pakistan","no","no"
"24934830","exclude","none","Swiss travel clinic traveler profile vaccination","no","no"
"22001825","exclude","none","Salmonella pan-genome Panseq bioinformatics","no","no"
"18444827","exclude","none","fosfomycin antibiotic review typhoid among infections","no","no"
"16850639","exclude","none","hospital vegetable bacterial contamination food microbiology","no","no"
"15710055","exclude","none","fever returning travelers etiology special population","no","no"
"12228285","exclude","none","interferon-stimulated genes mice Salmonella molecular","no","no"
"8751263","exclude","none","oral antibiotic susceptibility European survey non-typhoid","no","no"
"19867546","exclude","none","historical albuminolysins precipitin immunochemistry","no","no"
"27045667","exclude","none","children hospital mortality patterns Accra typhoid minor","no","no"
"12907068","exclude","none","French pediatric salmonellosis ciprofloxacin treatment few typhi","no","no"
"27013510","exclude","none","foodborne disease trends routine data Accra","no","no"
"42243458","exclude","none","coliform water pollution Kashmir waterborne disease","no","no"
"38047122","exclude","none","QMRA training Salmonella heat resistance food","no","no"
"32851596","exclude","none","COVID vaccine human challenge ethics commentary","no","no"
"31827550","exclude","none","plant anti-inflammatory antiarthritic rats typhoid traditional","no","no"
"29538263","exclude","none","EM provider knowledge pediatric tropical disease survey","no","no"
"12546197","exclude","none","waterborne disease microbial agents review","no","no"
"35636963","exclude","none","teleconference scheduling time zone DALYs","no","no"
"32627657","exclude","none","health economic threshold analysis method typhoid vaccine","no","no"
"27148229","exclude","none","Salmonella biocontrol bacteriophage genomics non-typhoid","no","no"
"40266105","exclude","none","systematic review vaccine introduction barriers not diagnostic","no","no"
"40078548","exclude","none","genomic MDR non-pathogenic Salmonella Goldcoast China","no","no"
"35469592","exclude","none","fever returning traveler narrative review","no","no"
"27117981","exclude","none","ESBL genes Salmonella faecal non-typhoid AMR","no","no"
"26396246","exclude","none","nontyphoidal Salmonella component vaccine mouse","no","no"
"21983465","exclude","none","Russian postthrombotic surgery typhoid historical cause","no","yes"
"21477675","exclude","none","dengue vaccine trial typhoid control Philippines","no","no"
"17877165","exclude","none","meningococcal vaccine trial typhoid Vi control","no","no"
"11016138","exclude","none","immunization coverage trends India review","no","no"
"9848615","exclude","none","HIV disease spectrum Abidjan non-typhoid special population","no","no"
"30991611","exclude","none","foodborne outbreak contributing factors catalogue not diagnostic","no","no"
"35232406","exclude","none","open defecation qualitative sanitation behavior Uganda","no","no"
"28104997","exclude","none","poverty-related disease perceptions students Cameroon","no","no"
"27413521","exclude","none","dengue scrub typhus co-infection India no typhoid data","no","no"
"24750096","exclude","none","STEC global burden systematic review off-topic","no","no"
"12594530","exclude","none","scopolamine toxicology Ames Salmonella typhimurium","no","no"
"38484951","exclude","none","essential oil antimicrobial wound healing screen","no","no"
"37089299","exclude","none","Schiff base vanadium complex antibacterial screen","no","no"
"27246877","exclude","none","Amaranthus antioxidant anticancer antimicrobial screen","no","no"
"39424573","exclude","none","BCG revaccination vaccine immunogenicity trial Uganda","no","no"
"40249008","exclude","none","calixarene antimicrobial antibiofilm quorum-sensing screen","no","no"
"32942223","exclude","none","sanitation pathogen flow environmental qPCR Dhaka","no","no"
"32729432","exclude","none","ESBL resistance genes Nigeria AMR gram-negative","no","no"
"32201844","exclude","none","silver nanoparticle Cucumis antibacterial antiproliferative screen","no","no"
"19127719","exclude","none","Mexican tarragon antimicrobial screen S typhi","no","no"
"40439784","exclude","none","UV-C Aloe vera oil antimicrobial screen","no","no"
"39247352","exclude","none","fermented banana peel antimicrobial screen","no","no"
"18031087","exclude","none","oral vaccine mucosal immunology review Salmonella vector","no","no"
"42239328","exclude","none","AR-12 analog host-directed anti-Salmonella drug","no","no"
"29070083","exclude","none","HIV traditional healer case report typhoid negative","no","no"
"27687164","exclude","none","chicken GWAS immune traits fowl typhoid","no","no"
"26701861","exclude","none","pre-travel advice humanitarian workers systematic review off-topic","no","no"
"25914682","exclude","none","Salmonella Enteritidis fimbriae mice pathogenesis","no","no"
"24413503","exclude","none","IAP immunization schedule India guideline","no","no"
"18981565","exclude","none","Houttuynia extract anti-Salmonella macrophage mice","no","no"
"11101679","exclude","none","avian cytokine Salmonella poultry molecular","no","no"
"4054993","exclude","none","maternal child health plan title only","no","no"
"39006393","exclude","none","amebic liver abscess case report typhoid differential","no","no"
"33593768","exclude","none","schistosomiasis vaccine response trial protocol","no","no"
"29191238","exclude","none","ethnopharmacology plants Kashmir typhoid traditional use","no","no"
"22475571","exclude","none","avian macrophage Salmonella immune dynamics poultry","no","no"
