"study","layer","setting_label","zotero_keys","pdf_path","has_pdf","data_recoverable"
"Muehlen 2007 (domestic outbreak)","positivity","community-or-surveillance","BF6PNXLW","C:/Users/jonghoon.kim/Zotero/storage/BF6PNXLW/Muehlen et al. - 2007 - Outbreak of domestically acquired typhoid fever in.pdf",TRUE,"positivity+tiers"
"Bano-Zaidi 2018","positivity","mixed-facility","ZQMHVZ7E","C:/Users/jonghoon.kim/Zotero/storage/ZQMHVZ7E/Bano-Zaidi et al. - 2018 - Typhoid fever outbreak with severe complications i.pdf",TRUE,"positivity+tiers"
"Srinivasan 2022 (Vellore children)","positivity","community-or-surveillance","YHMI8HRX","C:/Users/jonghoon.kim/Zotero/storage/YHMI8HRX/Srinivasan et al. - 2022 - Outbreak of Typhoid Fever in Children of Urban Vel.pdf",TRUE,"positivity"
"Limpitikul 2014 (Songkhla)","positivity","community-or-surveillance","9HKFIEAD","C:/Users/jonghoon.kim/Zotero/storage/9HKFIEAD/Limpitikul et al. - 2014 - Typhoid outbreak in Songkhla, Thailand 2009-2011 .pdf",TRUE,"positivity"
"Bhunia 2009 (South Dumdum)","positivity","community-or-surveillance","JVG88YK8","C:/Users/jonghoon.kim/Zotero/storage/JVG88YK8/Bhunia et al. - 2009 - A typhoid fever outbreak in a slum of South Dumdum.pdf",TRUE,"positivity"
"Brainard 2018 (DRC)","positivity","community-or-surveillance","EHZL6QVP","C:/Users/jonghoon.kim/Zotero/storage/EHZL6QVP/Brainard et al. - 2018 - Typhoid fever outbreak in the Democratic Republic .pdf",TRUE,"positivity"
"Hechaichi 2023 (Tunisia)","positivity","community-or-surveillance","8TX2TUHE","C:/Users/jonghoon.kim/Zotero/storage/8TX2TUHE/Hechaichi et al. - 2023 - Outbreak Investigation of Typhoid Fever in the Dis.pdf",TRUE,"positivity"
"Mamo 2018 (Ofla Ethiopia)","positivity","community-or-surveillance","NRP884RK","C:/Users/jonghoon.kim/Zotero/storage/NRP884RK/Mamo et al. - 2018 - Typhoid fever outbreak investigation in Ofla Wored.pdf",TRUE,"positivity"
"Michel 2005 (Cote d'Ivoire troops)","positivity","community-or-surveillance","HG29X4I6","C:/Users/jonghoon.kim/Zotero/storage/HG29X4I6/Michel et al. - 2005 - Outbreak of typhoid fever in vaccinated members of.pdf",TRUE,"positivity+tiers"
"Roy 2016 (Jorhat India)","positivity","hospital-referred","",NA,FALSE,"positivity"
"Nimonkar 2022 (India)","positivity","mixed-facility","",NA,FALSE,"positivity (confirmed-only)"
"Wang 2022 (China XDR)","positivity","mixed-facility","BPH5R428","C:/Users/jonghoon.kim/Zotero/storage/BPH5R428/Wang et al. - 2022 - Extensively Drug-Resistant (XDR) Salmonella Typhi .pdf",TRUE,"positivity (trivial)"
"Olsen 2001 (Florida restaurant)","positivity","community-or-surveillance","",NA,FALSE,"positivity"
"Katz 2002 (Florida)","positivity","community-or-surveillance","2BB43G9Q","C:/Users/jonghoon.kim/Zotero/storage/2BB43G9Q/Katz et al. - 2002 - An outbreak of typhoid Fever in Florida associated.pdf",TRUE,"positivity"
"Yoon 2004 (Korea)","positivity","community-or-surveillance","KJWRVYP8","C:/Users/jonghoon.kim/Zotero/storage/KJWRVYP8/Yoon et al. - 2004 - An outbreak of domestically acquired typhoid fever.pdf",TRUE,"positivity"
"Yang/Hh 2001 (Xing-An China)","positivity","community-or-surveillance","WFILNPKU|NSP9CG63","C:/Users/jonghoon.kim/Zotero/storage/WFILNPKU/Yang et al. - 2001 - An outbreak of typhoid fever, Xing-An County, Peop.pdf",TRUE,"positivity"
"Misra 2005 (India MDR)","positivity","mixed-facility","H4FGW7L2","C:/Users/jonghoon.kim/Zotero/storage/H4FGW7L2/Misra et al. - 2005 - Outbreak of Multi-drug Resistant Salmonella Typhi .pdf",TRUE,"positivity"
"Singla 2013 (subdivision India)","positivity","community-or-surveillance","HHKP6AWB","C:/Users/jonghoon.kim/Zotero/storage/HHKP6AWB/Singla et al. - 2013 - Outbreak of Salmonella Typhi enteric fever in sub-.pdf",TRUE,"positivity"
"Pradier 2000 (French Riviera)","positivity","community-or-surveillance","3IMX82CP","C:/Users/jonghoon.kim/Zotero/storage/3IMX82CP/Pradier et al. - 2000 - Outbreak of typhoid fever on the French Riviera.pdf",TRUE,"positivity"
"Loharikar 2012 (frozen mamey)","positivity","community-or-surveillance","X55ZAMP5","C:/Users/jonghoon.kim/Zotero/storage/X55ZAMP5/Loharikar et al. - 2012 - Typhoid fever outbreak associated with frozen mame.pdf",TRUE,"positivity"
"Kobayashi 2016 (foodborne)","positivity","community-or-surveillance","I985QLEY","C:/Users/jonghoon.kim/Zotero/storage/I985QLEY/Kobayashi et al. - 2016 - Case Report An Outbreak of Food-Borne Typhoid Fev.pdf",TRUE,"positivity"
"Hancock-Allen 2016","positivity","community-or-surveillance","B5STER4I|VCTIXGA6","C:/Users/jonghoon.kim/Zotero/storage/B5STER4I/Hancock-Allen et al. - 2016 - Notes from the Field Typhoid Fever Outbreak Assoc.pdf",TRUE,"positivity"
"von Kalckreuth 2016 (TSAP)","positivity","community-or-surveillance","LV5JF4LV","C:/Users/jonghoon.kim/Zotero/storage/LV5JF4LV/von Kalckreuth et al. - 2016 - The Typhoid Fever Surveillance in Africa Program (.pdf",TRUE,"positivity (setting-mix)"
"Carey 2020 (SEAP)","positivity","mixed-facility","PPALAYWP","C:/Users/jonghoon.kim/Zotero/storage/PPALAYWP/Carey et al. - 2020 - The Surveillance for Enteric Fever in Asia Project.pdf",TRUE,"positivity (stratifiable)"
"Meiring 2021 (STRATAA)","positivity","mixed-facility","X3A5KMNG","C:/Users/jonghoon.kim/Zotero/storage/X3A5KMNG/Meiring et al. - 2021 - Burden of enteric fever at three urban sites in Af.pdf",TRUE,"positivity (setting)"
"Srikantiah 2006 (Egypt)","positivity","community-or-surveillance","QYIRVXUE","C:/Users/jonghoon.kim/Zotero/storage/QYIRVXUE/Srikantiah et al. - 2006 - Population-based surveillance of typhoid fever in .pdf",TRUE,"positivity"
"Hancuh 2023 (Kenya)","positivity","community-or-surveillance","RLSDAG7T","C:/Users/jonghoon.kim/Zotero/storage/RLSDAG7T/Hancuh - 2023 - Typhoid Fever Surveillance, Incidence Estimates, a.pdf",TRUE,"positivity"
"Marks 2022 (SETA severe)","positivity","hospital-referred","",NA,FALSE,"positivity"
"Mahende 2015 (Tanzania outpatient)","positivity","community-or-surveillance","",NA,FALSE,"positivity"
"Voysey 2020 (under-detection)","positivity","mixed-facility","98AAWGSG","C:/Users/jonghoon.kim/Zotero/storage/98AAWGSG/Voysey et al. - 2020 - Under-detection of blood culture-positive enteric .pdf",TRUE,"adjustment/positivity"
"Andrews 2018 (Nepal)","positivity","mixed-facility","8HIK9ZHP","C:/Users/jonghoon.kim/Zotero/storage/8HIK9ZHP/Andrews et al. - 2018 - High Rates of Enteric Fever Diagnosis and Lower Bu.pdf",TRUE,"positivity"
"Khaliq 2021 (outbreak case-definition review)","positivity","n/a","6BYAZ6T7","C:/Users/jonghoon.kim/Zotero/storage/6BYAZ6T7/Khaliq et al. - 2021 - A review of toolkits and case definitions for dete.pdf",TRUE,"meta-source (defns)"
