"pmid","title","language","decision","layer","reason","citation_chase","language_exclude"
"11705049","Comparison of blood, bone marrow aspirate, stool and urine cultures in the  diagnosis of enteric fever.","eng","include","L1","Compares blood bone-marrow stool urine culture sensitivity enteric fever","no","no"
"11811872","Restaurant-associated outbreak of Salmonella typhi in Nauru: an epidemiological  and cost analysis.","eng","include","L3","outbreak 19 of 50 cases culture-confirmed; attack rate","no","no"
"11853291","A common-source water-borne outbreak of multidrug-resistant typhoid fever in a  rural Thai community.","eng","include","L3","waterborne typhoid outbreak; 5 of 10 hemoculture positive","no","no"
"11862006","Utility of PCR in diagnosis of problematic cases of typhoid.","eng","include","multiple","blood culture positive 14.5% of 55 suspected; PCR","no","no"
"11865843","Evaluation of a simple and rapid dipstick assay for the diagnosis of typhoid  fever in Indonesia.","eng","include","L3","127 suspected typhoid; dipstick versus blood bone-marrow culture","no","no"
"11944708","Diagnostic value of dot-enzyme-immunoassay test to detect outer membrane protein  antigen in sera of patients with typhoid fever.","eng","include","L1","serologic test accuracy; reports sensitivity specificity PPV","no","no"
"11944712","Blood culture confirmed typhoid fever in a provincial hospital in the  Philippines.","eng","include","L3","S typhi 8.9% of 4699 blood cultures; surveillance","no","no"
"12138663","Decreasing trend in the occurrence of Salmonella enterica serotype Typhi amongst  hospitalised children in Kolkata, India during 1990-2000.","eng","include","L3","hospital surveillance; clinical vs blood-culture positivity","no","no"
"12211593","Decline in epidemic of multidrug resistant Salmonella typhi is not associated  with increased incidence of antibiotic-susceptible strain in Bangladesh.","eng","include","L3","Dhaka; blood culture S. Typhi isolation rates yearly; positivity","no","no"
"12437043","Typhoid fever in Kuala Lumpur and a comparative evaluation of two commercial  diagnostic kits for the detection of antibodies to Salmonella typhi.","eng","include","L2","Typhidot PanBio vs Widal; sens spec vs culture","no","no"
"12440196","Change in antimicrobial resistance pattern of Salmonella Typhi in central India.","eng","include","L1","54 of 1468 suspected samples culture-positive","no","no"
"12737736","Estimating the incidence of typhoid fever and other febrile illnesses in  developing countries.","eng","include","L3","population surveillance incidence adjusted for test sensitivity","no","no"
"12757221","Antibody response in typhoid fever in endemic Indonesia and the relevance of  serology and culture to diagnosis.","eng","include","multiple","473 suspected typhoid; culture positivity; clinical symptoms non-specific; dipstick","no","no"
"12757224","Blood culture isolates from children admitted to Medical Unit III, Yangon  Children's Hospital, 1998.","eng","include","L3","febrile children; blood-culture positivity for S. typhi","no","no"
"12791064","Prevalence of typhoid fever in febrile patients with symptoms clinically  compatible with typhoid fever in Cameroon.","eng","include","multiple","Suspected typhoid cohort tested via culture and serology","no","no"
"13291372","Studies on the pathogenetic microbes in bone marrow in typhoid and paratyphoid.  I. Results of cultures of pathogenetic microbes from bone marrow in typhoid and paratyphoid.","eng","include","L1","bone marrow culture study typhoid paratyphoid","no","no"
"13291373","Studies on the pathogenetic microbes in bone marrow in typhoid and paratyphoid.  II. The relation between the findings of pathogenetic microbes in bone marrow and clinical symptoms of typhoid and paratyphoid.","eng","include","multiple","bone marrow culture vs clinical symptoms correlation","no","no"
"1341091","An algorithm for the clinical differentiation of malaria and typhoid: a  preliminary communication.","eng","include","L2","clinical algorithm; sensitivity/specificity vs culture-positive typhoid","no","no"
"13561112","Laboratory diagnosis of typhoid fever with notes on treatment.","eng","include","L1","blood culture yield/volume discussed; 41 cases","no","no"
"1398805","Occurrence of multi-drug resistant Salmonella typhi in Calcutta.","eng","include","L3","122 suspected enteric fever; blood culture positivity 34.4 percent","no","no"
"14408870","The bone marrow picture of typhoid fever in childhood.","eng","include","L1","bone marrow findings in childhood typhoid","no","no"
"14513391","Rapid diagnosis of typhoid fever by PCR assay using one pair of primers from  flagellin gene of Salmonella typhi.","eng","include","L3","73 clinically suspected; blood culture positivity 13.7 percent; PCR","no","no"
"14596347","Occurrence of Salmonella typhi and Salmonella paratyphi in Jordan.","eng","include","L3","0.6% stool culture positive of 245255; surveillance","no","no"
"14696952","Interference by malaria in the diagnosis of typhoid using Widal test alone.","eng","include","L3","Febrile cohort screened; culture-confirmed enteric fever","no","no"
"14768191","Typhoid fever: clinical diagnosis versus laboratory confirmation.","eng","include","L2","clinical diagnosis versus culture confirmation; positivity of clinical diagnosis","no","no"
"1478046","Diagnosis of typhoid fever by two serologic methods. Enzyme-linked immunosorbent  assay of antilipopolysaccharide of Salmonella typhi antibodies and Widal test.","eng","include","L2","ELISA and Widal sensitivity specificity vs proven typhoid","no","no"
"1495127","Diagnostic value of the Widal test for typhoid fever in Singapore.","eng","include","L2","Widal accuracy vs bacteriologically proven typhoid cases","no","no"
"14994967","Resolving diagnostic uncertainty in initially poorly localizable fevers: a  prospective study.","eng","include","multiple","enteric fever culture positive 52 percent fever charting","no","no"
"15025323","A steady decrease in occurrence of Salmonella typhi infection in Rourkela,  Orissa.","eng","include","L3","hospital surveillance; 254 of 4378 culture positive","no","no"
"15217177","Typhoid fever outbreak in Madaya Township, Mandalay Division, Myanmar, September  2000.","eng","include","L3","outbreak with case definition attack rate and culture","no","no"
"15222513","Etiologies of acute undifferentiated febrile illness in Thailand.","eng","include","L3","enteric fever proportion among AFI; positivity","no","no"
"15347861","Current pattern in antimicrobial susceptibility of Salmonella Typhi isolates in  Pondicherry.","eng","include","L3","1296 suspected enteric fever; 157 S. Typhi isolated positivity","no","no"
"15635006","Evaluation of nested PCR in diagnosis of typhoid fever.","eng","include","L1","nested PCR vs blood culture and Widal; diagnostic accuracy","no","no"
"15651116","Diagnostic methods for typhoid fever in Nigeria.","eng","include","L3","culture and Widal in febrile patients; positivity","no","no"
"15712078","Typhoid fever: a massive, single-point source, multidrug-resistant outbreak in  Nepal.","eng","include","L3","large Nepal outbreak with lab-confirmed isolates","no","no"
"15733694","Multidrug resistance in Salmonella enterica serovar typhi isolated from patients  with typhoid fever complications in Lagos, Nigeria.","eng","include","L3","PUO patients; blood culture positivity proportion reported","no","no"
"1582465","Epidemiology and control of an outbreak of typhoid in a psychiatric institution.","eng","include","L3","institutional outbreak; attack rate 95 of 1965","no","no"
"15837356","Identification of typhoid fever and paratyphoid fever cases at presentation in  outpatient clinics in Jakarta, Indonesia.","eng","include","L2","Jakarta outpatient clinical prediction rule; culture-confirmed typhoid","no","no"
"1601498","Multidrug resistant typhoid fever: study of an outbreak in Calcutta.","eng","include","multiple","blood bone-marrow Widal positivity; outbreak","no","no"
"16099488","Risk factors associated with typhoid fever in Son La province, northern Vietnam.","eng","include","L3","617 suspected 90 culture-confirmed typhoid cases Vietnam","no","no"
"16103611","Hospital-based surveillance for acute febrile illness in Egypt: a focus on  community-acquired bloodstream infections.","eng","include","L3","AFI surveillance Egypt; 5 percent Typhi culture-positive","no","no"
"1610504","[Outbreak of paratyphoid fever among Peruvian naval personnel].","spa","include","L3","Paratyphoid outbreak attack rate case definition culture confirmed","no","no"
"16124436","Bacteria isolated from blood, stool and urine of typhoid patients in a developing  country.","eng","include","L3","clinically diagnosed typhoid; blood and stool culture positivity","no","no"
"16228096","Concurrent malaria and enteric fever in Pakistan.","eng","include","L2","clinical feature predictive values vs culture-proven cases","no","no"
"16240978","Molecular analysis of multi-drug resistant Salmonella typhi from urban paediatric  population of Bangladesh.","eng","include","L3","109 suspected typhoid; blood culture positivity 27.5 percent; MDR","no","no"
"16295716","Salmonella bacteraemia in Pokhara: emergence of antibiotic resistance.","eng","include","L1","blood culture yield 4.8 percent among tested specimens","no","no"
"16400212","Typhoid fever in Dhulikhel hospital, Nepal.","eng","include","L2","112 clinical typhoid; blood culture positive 49 percent","no","no"
"16407354","Population-based surveillance of typhoid fever in Egypt.","eng","include","L3","5% culture positive of 1815; population surveillance","no","no"
"16431148","Typhoid fever in children: some epidemiological considerations from Karachi,  Pakistan.","eng","include","L3","Karachi surveillance; 341 suspected; 49 culture-positive; incidence estimates","no","no"
"16455118","The malaria and typhoid fever burden in the slums of Kolkata, India: data from a  prospective community-based study.","eng","include","L3","Community-based burden study; blood culture-confirmed typhoid cases","no","no"
"16501718","Enhanced disease surveillance through private health care sector cooperation in  Karachi, Pakistan: experience from a vaccine trial.","eng","include","L3","febrile surveillance; blood-culture-confirmed typhoid incidence","no","no"
"16697432","A simple validated prediction rule to diagnose typhoid fever in Turkey.","eng","include","L2","validated clinical prediction rule; blood-culture confirmed typhoid","no","no"
"16783041","Prospective evaluation of a rapid diagnostic test Typhidot for typhoid fever.","eng","include","L3","563 clinically suspected; blood culture reference; Typhidot evaluation","no","no"
"1681365","Oral immunisation against typhoid fever in Indonesia with Ty21a vaccine.","eng","include","L3","Ty21a vaccine trial; blood-culture-confirmed typhoid rates by arm","no","no"
"16901852","Enhanced detection rate of typhoid fever in children in a periurban slum in  Karachi, Pakistan using polymerase chain reaction technology.","eng","include","multiple","blood culture yield and PCR in suspected typhoid children","no","no"
"16938421","Evaluation of new-generation serologic tests for the diagnosis of typhoid fever:  data from a community-based surveillance in Calcutta, India.","eng","include","L3","Calcutta surveillance; 6697 febrile; culture-confirmed; serologic tests","no","no"
"16978898","Multidrug-resistant and extended-spectrum beta-lactamase (ESBL)-producing  Salmonella enterica (serotypes Typhi and Paratyphi A) from blood isolates in Nepal: surveillance of resistance and a search for newer alternatives.","eng","include","L3","Typhi/Paratyphi positivity among febrile; AMR","no","no"
"17124998","A hospital-based study of bloodstream infections in febrile patients in Dhulikhel  Hospital Kathmandu University Teaching Hospital, Nepal.","eng","include","L3","febrile patients Nepal; 1774 blood cultures; 6.9% positive","no","no"
"17216959","Comparative study on different recent diagnostic and therapeutic regimens in  acute typhoid fever.","eng","include","L2","Clinical signs and Widal sensitivity vs culture","no","no"
"17217551","Optimizing typhoid fever case definitions by combining serological tests in a  large population study in Hechi City, China.","eng","include","multiple","evaluates typhoid case definitions sensitivity specificity; large population study","no","no"
"17255243","Detection of Salmonella typhi by nested polymerase chain reaction in blood,  urine, and stool samples.","eng","include","multiple","blood culture sensitivity 61.8% of 131 suspected; PCR","no","no"
"17298127","Typhoid is over-reported in Embu and Nairobi, Kenya.","eng","include","L3","Kenya; 846 suspected; blood culture isolation 2-3 percent; Widal","no","no"
"17323826","Diagnostic yield of blood clot culture in the accurate diagnosis of enteric fever  and human brucellosis.","eng","include","L1","blood clot vs whole blood culture sensitivity enteric fever","no","no"
"17333772","Typhoid fever: narrowing therapeutic options in India.","eng","include","L3","178 of 1458 blood cultures grew Typhi; positivity","no","no"
"17333825","[Retrospective study on the isolated strains of Salmonella in an Iranian hospital  in Kermanshah].","fre","include","L1","Blood/bone marrow culture positivity rate reported","no","no"
"17350203","Rapid detection of early typhoid fever in endemic community children by the TUBEX  O9-antibody test.","eng","include","L2","TUBEX rapid test sensitivity specificity against blood culture typhoid","no","no"
"1746041","Relative sensitivity of blood and bone marrow cultures in typhoid fever.","eng","include","L1","paired blood vs bone marrow culture sensitivity typhoid","no","no"
"17615907","Antimicrobial susceptibility patterns of Salmonella enterica serotype typhi in  eastern Nepal.","eng","include","L3","Typhi from blood cultures of suspected; positivity","no","no"
"17713634","[Characterization of two typhoid fever outbreaks in Apartadó, Antioquia, 2005].","spa","include","L3","typhoid outbreak; 44 suspected 15 culture-confirmed","no","no"
"17939308","Widal agglutination titres in the diagnosis of typhoid fever.","eng","include","L1","Widal titres vs culture; sensitivity specificity PPV NPV","no","no"
"17978448","Diagnosis of typhoid fever by polymerase chain reaction.","eng","include","multiple","blood culture positive 27% of suspected; PCR","no","no"
"18023462","Emerging trends in enteric fever in Nepal: 9124 cases confirmed by blood culture  1993-2003.","eng","include","L3","Kathmandu hospital surveillance; blood culture Salmonella positivity trends","no","no"
"18276100","Simple, rapid, and affordable point-of-care test for the serodiagnosis of typhoid  fever.","eng","include","L2","lateral flow IgM test; sens spec vs culture","no","no"
"18438514","A study of typhoid fever in five Asian countries: disease burden and implications  for controls.","eng","include","L3","S typhi 2% of blood cultures; five-country incidence","no","no"
"1844287","[Evaluation of an immunoenzyme technique (ELISA) to diagnose typhoid fever].","spa","include","L2","ELISA and Widal accuracy vs typhoid patients","no","no"
"18501549","Clinical value of Tubex and Typhidot rapid diagnostic tests for typhoid fever in  an urban community clinic in Bangladesh.","eng","include","L3","Febrile clinic cohort with blood-culture positivity; RDT evaluation","no","no"
"18603924","Enteric fever: diagnostic value of clinical features.","eng","include","L2","evaluates diagnostic accuracy of clinical features versus culture","no","no"
"18604016","Enteric fever: a retrospective 6-year analysis of 82 paediatric cases in a  teaching hospital.","eng","include","multiple","blood culture 37% bone marrow 62.5%; paediatric cases","no","no"
"18702385","Enteric fever in Mumbai--clinical profile, sensitivity patterns and response to  antimicrobials.","eng","include","L3","culture positivity 52.6%; clinical profile Mumbai","no","no"
"19005140","Controlled evaluation of Bactec Peds Plus/F and Bactec lytic/10 anaerobic/F media  for isolation of Salmonella enterica serovars typhi and paratyphi A from blood.","eng","include","L1","Compares blood-culture media yield for S Typhi","no","no"
"19174300","An outbreak of peritonitis caused by multidrug-resistant Salmonella Typhi in  Kinshasa, Democratic Republic of Congo.","eng","include","L3","outbreak reports perforation cases and culture-confirmed counts","no","no"
"19230587","Clinical features and early diagnosis of typhoid fever emphasizing usefulness of  detecting mesenteric lymphadenopathy with ultrasound as diagnostic method.","eng","include","L2","Ultrasound mesenteric lymphadenopathy diagnostic value; typhoid versus non-typhoid","no","no"
"19287065","An increase in enteric fever cases due to Salmonella Paratyphi A in & around  Chandigarh.","eng","include","L3","11240 suspected enteric fever; 305 culture-confirmed","no","no"
"1937644","Ciprofloxacin in typhoid fever.","eng","include","L1","blood culture positive 30 of 49 tested","no","no"
"19382666","Predictive value of clinical and laboratory findings in the diagnosis of the  enteric fever.","eng","include","L2","clinical laboratory findings sensitivity specificity PPV vs culture","no","no"
"19397806","A typhoid fever outbreak in a slum of South Dumdum municipality, West Bengal,  India, 2007: evidence for foodborne and waterborne transmission.","eng","include","L3","typhoid outbreak; case definition; attack rate; culture","no","no"
"19430063","Comparative study of dot enzyme immunoassay (Typhidot-M) and Widal test in the  diagnosis of typhoid fever.","eng","include","multiple","Typhidot Widal vs culture; positivity among suspected children","no","no"
"19558061","Prevalence of Salmonella typhi and paratyphi infection in children: a hospital  based study.","eng","include","L1","hospital blood culture yield 2 percent positive","no","no"
"19745526","Specimens and culture media for the laboratory diagnosis of typhoid fever.","eng","include","L1","blood versus bone marrow culture yield; media comparison","no","no"
"20021691","Investigation of a community outbreak of typhoid fever associated with drinking  water.","eng","include","L3","waterborne typhoid outbreak; 250 suspected; 22% stool positive","no","no"
"2013632","Comparative yield of Salmonella typhi from blood and bone marrow cultures in  patients with fever of unknown origin.","eng","include","L1","Blood versus bone marrow culture yield; FUO patients","no","no"
"20168998","Invasive salmonellosis among children admitted to a rural Tanzanian hospital and  a comparison with previous studies.","eng","include","multiple","fever surveillance Tanzania; 1502 children; typhoid positivity; clinical features","no","no"
"20236850","Burden of typhoid and paratyphoid fever in a densely populated urban community,  Dhaka, Bangladesh.","eng","include","L3","48 Salmonella from 961 blood cultures; incidence","no","no"
"20334064","Study of enteric fever and antibiogram of Salmonella isolates at a teaching  hospital in Kathmandu Valley.","eng","include","L3","febrile patients Nepal; 479 blood cultures; enteric fever prevalence 5.4%","no","no"
"20359254","Prevalence of Salmonella typhi among patients with febrile illness in rural and  peri-urban populations of Vellore district, as determined by nested PCR targeting the flagellin gene.","eng","include","L3","Febrile PUO cohort; blood culture positivity 2.0 percent; nPCR","no","no"
"20387354","Bone marrow culture vs. blood culture in FUO.","eng","include","L1","paired bone marrow vs blood culture; Typhi commonest isolate","no","no"
"20414379","Diagnosis of enteric fever in the emergency department: a retrospective study  from Pakistan.","eng","include","multiple","clinical parameters vs blood culture; 53 of 421 positive","no","no"
"20478986","Multidrug resistant typhoid fever outbreak in Ercek Village-Van, Eastern  Anatolia, Turkey: clinical profile, sensitivity patterns and response to antimicrobials.","eng","include","L3","Turkey outbreak; 867 patients; 42 cultures positive 27.3 percent","no","no"
"20565990","Evaluation of the Widal tube agglutination test for the diagnosis of typhoid  fever among children admitted to a rural hdospital in Tanzania and a comparison with previous studies.","eng","include","L3","Tanzania; 1680 febrile children; culture-proven typhoid 1 percent; Widal","no","no"
"20571169","Investigation of the outbreak of typhoid in a village of Thar Desert Rajasthan,  India.","eng","include","L3","village typhoid outbreak; attack rate Widal positivity","no","no"
"20696646","[Typhoid fever in Lebanon: epidemiological study].","fre","include","L3","surveillance; case definition fever plus culture confirmation","no","no"
"20800009","An outbreak of Salmonella Paratyphi A in a boarding school: a community-acquired  enteric fever and carriage investigation.","eng","include","L3","paratyphoid outbreak; suspected cases; blood-culture positivity","no","no"
"20870680","Acute undifferentiated febrile illness in adult hospitalized patients: the  disease spectrum and diagnostic predictors - an experience from a tertiary care hospital in South India.","eng","include","L3","enteric fever proportion among AFI; clinical profile","no","no"
"20988717","A comparative study of saponin broth and bile broth as a blood-culture medium for  isolation of enteric group of organisms.","eng","include","L1","blood culture medium comparison for enteric organisms","no","no"
"21046701","Incidence of typhoid bacteremia in infants and young children in southern coastal  Pakistan.","eng","include","L3","Pakistan child surveillance; blood culture; typhoid bacteremia incidence","no","no"
"21123100","The burden of vaccine-preventable invasive bacterial infections and pneumonia in  children admitted to hospital in urban Nepal.","eng","include","L3","Nepal children; 2039 suspected; blood culture positivity 7.5 percent","no","no"
"21217181","Invasive bacterial and fungal infections among hospitalized HIV-infected and  HIV-uninfected adults and adolescents in northern Tanzania.","eng","include","L3","Tanzania invasive infections; Salmonella Typhi 23 percent blood culture","no","no"
"21303511","The dilemma of widal test - which brand to use? a study of four different widal  brands: a cross sectional comparative study.","eng","include","L1","Widal test accuracy; sensitivity and specificity reported","no","no"
"21340299","Typhidot M and Diazo test vis-à-vis blood culture and Widal test in the early  diagnosis of typhoid fever in children in a resource poor setting.","eng","include","multiple","blood culture yield 27% among clinically suspected children","no","no"
"2145703","Evaluation of thiol broth for the culture of Salmonella typhi and other bacteria  from blood.","eng","include","L1","Compares blood culture media positivity for S. typhi","no","no"
"21482058","[Cluster of indigenous typhoid fever cases in a French city].","fre","include","L3","French typhoid cluster; case definition; sixteen cases","no","no"
"21508082","Typhoid fever among hospitalized febrile children in Siem Reap, Cambodia.","eng","include","L3","febrile children; blood-culture positivity; suspected counts","no","no"
"21531174","Gatifloxacin versus chloramphenicol for uncomplicated enteric fever: an  open-label, randomised, controlled trial.","eng","include","L3","RCT reports culture-confirmed proportion among clinical enteric fever","no","no"
"21537098","Occurrence & antibiogram of Salmonella Typhi & S. Paratyphi A isolated from  Rourkela, Orissa.","eng","include","L3","Suspected enteric fever cohort; blood culture positivity 5.58 percent","no","no"
"21555791","Efficacy and safety of azithromycin for uncomplicated typhoid fever: an open  label non-comparative study.","eng","include","L3","azithromycin trial; culture positive among clinical typhoid","no","no"
"21576347","A comparative study of the typhidot (Dot-EIA) and Widal tests in blood culture  positive cases of typhoid fever.","eng","include","L2","Typhidot vs Widal; sens spec PPV vs culture","no","no"
"21595963","Community acquired bacteremia in young children from central Nigeria--a pilot  study.","eng","include","L3","Suspected bacteremia cohort; Styphi confirmed subset","no","no"
"21609455","Assessment and comparative analysis of a rapid diagnostic test (Tubex®) for the  diagnosis of typhoid fever among hospitalized children in rural Tanzania.","eng","include","L3","Tanzania hospitalized children; blood culture S. Typhi 33/139; Tubex","no","no"
"21781418","Comparison of a rapid commercial test, Enterocheck WB(®), with automated blood  culture for diagnosis of typhoid fever.","eng","include","L3","450 suspected typhoid; blood culture positive; Enterocheck RDT","no","no"
"2180234","Efficacy of one or two doses of Ty21a Salmonella typhi vaccine in enteric-coated  capsules in a controlled field trial. Chilean Typhoid Committee.","eng","include","L3","Ty21a vaccine trial; bacteriologically-confirmed cases and attack rates","no","no"
"21870549","[Predictive value of positive and negative results of the Widal and Felix test  for typhoid fever in general practice in Niamey].","fre","include","L2","Widal test PPV/NPV among suspected typhoid patients","no","no"
"21897484","Sensitivity and specificity of typhoid fever rapid antibody tests for laboratory  diagnosis at two sub-Saharan African sites.","eng","include","L3","30.4% blood culture positive of 92 suspected","no","no"
"21929877","Epidemiological characteristics and molecular typing of Salmonella enterica  serovar Typhi during a waterborne outbreak in Eastern Anatolia.","eng","include","multiple","waterborne typhoid outbreak; 637 clinical cases; 91 culture-positive","no","no"
"22232450","Etiology of acute, non-malaria, febrile illnesses in Jayapura, northeastern  Papua, Indonesia.","eng","include","L3","fever etiology; blood culture Typhi positivity reported","no","no"
"22276105","Population-based incidence of typhoid fever in an urban informal settlement and a  rural area in Kenya: implications for typhoid vaccine use in Africa.","eng","include","L3","population-based surveillance; blood-culture confirmed typhoid incidence","no","no"
"2229436","Comparison of methods for the diagnosis of typhoid fever.","eng","include","L1","blood culture yield; method comparison; sensitivity","no","no"
"22357702","Multidrug-resistant typhoid fever with neurologic findings on the  Malawi-Mozambique border.","eng","include","L3","Malawi-Mozambique outbreak; 214 suspected 43 probable 46 confirmed","no","no"
"22357703","A large outbreak of typhoid fever associated with a high rate of intestinal  perforation in Kasese District, Uganda, 2008-2009.","eng","include","L3","Kasese outbreak; suspected case definition; culture-positive 27/81","no","no"
"22363426","The burden of invasive bacterial infections in Pemba, Zanzibar.","eng","include","multiple","surveillance study; blood culture sensitivity adjusted","no","no"
"22423132","Typhoid fever outbreak associated with frozen mamey pulp imported from Guatemala  to the western United States, 2010.","eng","include","L3","foodborne typhoid outbreak; PFGE case definition; 12 cases","no","no"
"22493333","Use of urine with nested PCR targeting the flagellin gene (fliC) for diagnosis of  typhoid fever.","eng","include","L1","blood culture sensitivity 31.8 percent in suspected","no","no"
"22551639","The diagnosis of typhoid fever in the Democratic Republic of the Congo.","eng","include","L3","S Typhi 2.4% of 3820 suspected; Widal","no","no"
"22582542","Risk factors for typhoid outbreak in Sungai Congkak Recreational Park, Selangor  2009.","eng","include","L3","typhoid outbreak culture-based case definition twelve confirmed cases","no","no"
"2294605","Typhoid fever in the adult and paediatric Indian population of Durban.","eng","include","L1","reports 41% culture-negative yield from prior antibiotics","no","no"
"22993409","Evaluation of serological diagnostic tests for typhoid fever in Papua New Guinea  using a composite reference standard.","eng","include","multiple","serologic test eval; culture positivity; fever threshold vs culture","no","no"
"23100346","Evaluation of a simple blood culture amplification and antigen detection method  for diagnosis of Salmonella enterica serovar typhi bacteremia.","eng","include","L1","blood culture antigen detection; reports sensitivity specificity PPV","no","no"
"23103892","Epidemiology, clinical presentation, and patterns of drug resistance of  Salmonella Typhi in Karachi, Pakistan.","eng","include","multiple","189 S Typhi of 7401; incidence; fever features","no","no"
"23115652","Bloodstream infection among children presenting to a general hospital outpatient  clinic in urban Nepal.","eng","include","L3","blood culture bloodstream infection febrile children Nepal","no","no"
"23226492","Neurologic manifestations associated with an outbreak of typhoid fever,  Malawi--Mozambique, 2009: an epidemiologic investigation.","eng","include","L3","Typhoid outbreak; clinical case definition with culture/serology confirmation","no","no"
"23281454","Antimicrobial susceptibility patterns of Salmonella typhi and Salmonella  paratyphi A in a tertiary care hospital.","eng","include","L3","3980 suspected enteric fever; blood culture positivity 2.0 percent","no","no"
"23284780","Clinical and epidemiological features of typhoid fever in Pemba, Zanzibar:  assessment of the performance of the WHO case definitions.","eng","include","multiple","WHO case definition sensitivity specificity vs blood culture","no","no"
"23420012","Validation of a new serology-based dipstick test for rapid diagnosis of typhoid  fever.","eng","include","L2","serologic dipstick vs culture; sensitivity specificity reported","no","no"
"23575044","Validation of the proposed clinical diagnostic criteria of enteric fever.","eng","include","L2","clinical diagnostic criteria validated against blood culture","no","no"
"23759232","[Fever monitoring program in areas with high incidence of typhoid and paratyphoid  fever in Guizhou province].","chi","include","L3","fever surveillance; blood-culture positivity rate reported","no","no"
"23853696","Evaluation of an electricity-free, culture-based approach for detecting typhoidal  Salmonella bacteremia during enteric fever in a high burden, resource-limited setting.","eng","include","multiple","blood-culture detection method; 21% febrile positivity","no","no"
"23936565","Dengue and other common causes of acute febrile illness in Asia: an active  surveillance study in children.","eng","include","L3","active surveillance cohort; typhi seropositivity proportion reported","no","no"
"2417786","Diagnostic value of a single Widal test.","eng","include","L2","Widal test sensitivity specificity accuracy for typhoid","no","no"
"24218407","Evaluation of the diagnostic accuracy of a typhoid IgM flow assay for the  diagnosis of typhoid fever in Cambodian children using a Bayesian latent class model assuming an imperfect gold standard.","eng","include","L1","estimates blood culture sensitivity via Bayesian latent class model","no","no"
"24240034","Enteric fever burden in North Jakarta, Indonesia: a prospective, community-based  study.","eng","include","L3","296 confirmed enteric fever; community incidence","no","no"
"2424936","Comparison of passive haemagglutination test with Widal agglutination test for  serological diagnosis of typhoid fever in an endemic area.","eng","include","L1","haemagglutination vs Widal; sensitivity specificity vs culture-confirmed typhoid","no","no"
"24282626","Gatifloxacin versus ofloxacin for the treatment of uncomplicated enteric fever in  Nepal: an open-label, randomized, controlled trial.","eng","include","multiple","clinically diagnosed enteric fever; 218 of 627 culture-confirmed","no","no"
"24336909","Invasive Salmonella infections in areas of high and low malaria transmission  intensity in Tanzania.","eng","include","L3","population surveillance; blood culture confirmed counts","no","no"
"24518016","[Epidemiological features of typhoid/paratyphoid fever in provinces with high  incidence rate and in the whole country, in 2012].","chi","include","L3","national surveillance suspected vs confirmed typhoid counts","no","no"
"24551225","Frequency of severe malaria and invasive bacterial infections among children  admitted to a rural hospital in Burkina Faso.","eng","include","L3","Salmonella Typhi positivity among febrile children","no","no"
"24584364","Evaluation of TH agglutinin titres of Widal test in the diagnosis of typhoid  fever.","eng","include","multiple","Widal vs culture; culture positivity of suspected","no","no"
