study,layer,setting_label,why_candidate,provenance,data_recoverable
Muehlen 2007 (domestic outbreak),positivity,community-or-surveillance,suspected/probable/confirmed tiers,zotero BF6PNXLW,positivity+tiers
Bano-Zaidi 2018,positivity,mixed-facility,suspected/probable/confirmed tiers,zotero ZQMHVZ7E,positivity+tiers
Srinivasan 2022 (Vellore children),positivity,community-or-surveillance,outbreak in children; positivity,zotero YHMI8HRX,positivity
Limpitikul 2014 (Songkhla),positivity,community-or-surveillance,outbreak 2009-11; serology reliability,zotero 9HKFIEAD,positivity
Bhunia 2009 (South Dumdum),positivity,community-or-surveillance,slum outbreak; suspected/confirmed,zotero JVG88YK8,positivity
Brainard 2018 (DRC),positivity,community-or-surveillance,DRC typhoid outbreak,zotero EHZL6QVP,positivity
Hechaichi 2023 (Tunisia),positivity,community-or-surveillance,outbreak investigation; suspected/confirmed,zotero 8TX2TUHE,positivity
Mamo 2018 (Ofla Ethiopia),positivity,community-or-surveillance,outbreak investigation,zotero NRP884RK,positivity
Michel 2005 (Cote d'Ivoire troops),positivity,community-or-surveillance,point-source cohort; suspected/probable/confirmed,zotero HG29X4I6,positivity+tiers
Roy 2016 (Jorhat India),positivity,hospital-referred,hospital-presentation; small; positivity high (selection),web,positivity
Nimonkar 2022 (India),positivity,mixed-facility,confirmed-heavy (tested=suspected) - likely excluded,web,positivity (confirmed-only)
Wang 2022 (China XDR),positivity,mixed-facility,XDR outbreak; tested=1 - likely excluded,zotero BPH5R428,positivity (trivial)
Olsen 2001 (Florida restaurant),positivity,community-or-surveillance,foodborne outbreak (high-income),web,positivity
Katz 2002 (Florida),positivity,community-or-surveillance,outbreak; suspected/confirmed,zotero 2BB43G9Q,positivity
Yoon 2004 (Korea),positivity,community-or-surveillance,domestically-acquired outbreak,zotero KJWRVYP8,positivity
Yang/Hh 2001 (Xing-An China),positivity,community-or-surveillance,outbreak; suspected/confirmed,zotero WFILNPKU/NSP9CG63,positivity
Misra 2005 (India MDR),positivity,mixed-facility,MDR outbreak,zotero H4FGW7L2,positivity
Singla 2013 (subdivision India),positivity,community-or-surveillance,outbreak; suspected/confirmed,zotero HHKP6AWB,positivity
Pradier 2000 (French Riviera),positivity,community-or-surveillance,outbreak,zotero 3IMX82CP,positivity
Loharikar 2012 (frozen mamey),positivity,community-or-surveillance,foodborne outbreak,zotero X55ZAMP5,positivity
Kobayashi 2016 (foodborne),positivity,community-or-surveillance,foodborne outbreak case report,zotero I985QLEY,positivity
Hancock-Allen 2016,positivity,community-or-surveillance,MMWR notes-from-field outbreak,zotero B5STER4I/VCTIXGA6,positivity
von Kalckreuth 2016 (TSAP),positivity,community-or-surveillance,African febrile surveillance; blood-culture positivity (methods+results),zotero LV5JF4LV,positivity (setting-mix)
Carey 2020 (SEAP),positivity,mixed-facility,Asia enteric-fever surveillance; outpatient+inpatient positivity,zotero PPALAYWP,positivity (stratifiable)
Meiring 2021 (STRATAA),positivity,mixed-facility,3-site febrile surveillance; typhoidal positivity 3.2-8.2%,zotero X3A5KMNG,positivity (setting)
Srikantiah 2006 (Egypt),positivity,community-or-surveillance,population-based typhoid surveillance,zotero QYIRVXUE,positivity
Hancuh 2023 (Kenya),positivity,community-or-surveillance,typhoid surveillance/incidence Kenya,zotero RLSDAG7T,positivity
Marks 2022 (SETA severe),positivity,hospital-referred,severe-typhoid program; S.Typhi share of CSO,web/zotero,positivity
Mahende 2015 (Tanzania outpatient),positivity,community-or-surveillance,outpatient children bacteraemia; S.Typhi 2.1%,web/zotero,positivity
Voysey 2020 (under-detection),positivity,mixed-facility,under-detection of BC-positive enteric fever (STRATAA-linked),zotero 98AAWGSG,adjustment/positivity
Andrews 2018 (Nepal),positivity,mixed-facility,facility-based enteric fever diagnosis rates,zotero 8HIK9ZHP,positivity
Khaliq 2021 (outbreak case-definition review),positivity,n/a,catalogue of 68 outbreak case definitions; citation-chase source,zotero 6BYAZ6T7,meta-source (defns)
