"pmid","timeseries","ts_type","period","year","title","reason"
"41409555","yes","surveillance_trend","2016-2023","2025","Spatial and Temporal Distribution of Febrile Illnesses in Uganda: Case Studies of  Brucellosis, Malaria and Typhoid Fever (2016-2023).","Uganda national surveillance typhoid trend spatial temporal analysis"
"41564028","yes","surveillance_trend","Jan2018-Apr2024","2026","Impact of the COVID-19 pandemic and typhoid conjugate vaccine introduction on  typhoid fever in Nepal.","Nepal culture positivity across pre pandemic post-vaccine periods"
"41769448","yes","surveillance_trend","2014-2024","2026","Changing Trends in the Prevalence, Seasonal Distribution and Antimicrobial  Susceptibility Pattern of Salmonella: An 11-Year Retrospective Study at a Tertiary Care Hospital.","eleven-year hospital Salmonella prevalence seasonal trend India"
"41783637","yes","surveillance_trend","2014-2024","2025","Shifting Enteric Fever Epidemiology in Children in Nepal: Is the Burden of  Salmonella Paratyphi on the Rise?","Nepal eleven-year blood culture enteric fever decline"
"42044148","yes","surveillance_trend","2004-2023","2026","The typhoid Mary legacy: Genomic epidemiology uncovers contemporary carriage  dynamics across two decades of enteric fever surveillance in England and Wales.","England Wales twenty-year enteric fever case trend analysis"
"42374913","yes","surveillance_trend","2001-2024","2026","Typhoid Fever in the Republic of Korea, 2001-2024: Long-Term Decline, Residual  Annual Periodicity, and Southeastern Coastal Spatial Clustering in 24 Years of Nationwide Surveillance.","Nationwide surveillance weekly annual case counts digitizable"
"36748526","maybe","dated_counts","2018-2019","2023","The genomic characterization of Salmonella Paratyphi A from an outbreak of  enteric fever in Vadodara, India.","Outbreak genomics likely has case timeline"
"37289732","maybe","dated_counts","1629","2023","Milan's forgotten epidemic of summer 1629, a few months before the last great  plague: An investigation into the possible cause.","Historical epidemic monthly death counts possible typhoid"
"37339282","maybe","dated_counts","2020-2021","2023","Enteric fever cluster identification in South Africa using genomic surveillance  of Salmonella enterica serovar Typhi.","Genomic cluster investigation enteric fever South Africa"
"37851667","maybe","dated_counts","2019-2021","2023","Environmental sampling for typhoidal Salmonellas in household and surface waters  in Nepal identifies potential transmission pathways.","Monthly environmental water sampling for Typhi DNA"
"38177335","maybe","dated_counts","2022","2024","Vibrio cholerae and Salmonella Typhi culture-based wastewater or non-sewered  sanitation surveillance in a resource-limited region.","Nine-week wastewater surveillance bacterial counts"
"38281965","maybe","dated_counts","2014-2017","2024","A description of a pre-emptive typhoid Vi capsular polysaccharide vaccination  campaign after the 2015 earthquake in Nepal and vaccine effectiveness evaluation.","post-earthquake Nepal typhoid vaccination; yearly clinical typhoid admissions"
"38505295","maybe","dated_counts","2020-2022","2024","A Prolonged Outbreak of Enteric Fever Associated With Illegal Miners in the City  of Matlosana, South Africa, November 2020-September 2022.","Prolonged outbreak genomic cluster among miners"
"38913735","maybe","dated_counts",NA,"2024","Spatial and temporal clustering of typhoid fever in an urban slum of Dhaka City:  Implications for targeted typhoid vaccination.","Spatial temporal clustering analysis case-control Dhaka"
"39048970","maybe","dated_counts","2023","2024","Malaria and typhoid fever co-infection: a retrospective analysis of University  Hospital records in Nigeria.","monthly malaria typhoid coinfection prevalence April-June reported"
"39216104","maybe","dated_counts",NA,"2024","Clinical and laboratory analysis of a large imported typhoid fever outbreak in  The Netherlands.","No abstract title indicates imported outbreak analysis"
"40083303","maybe","dated_counts",NA,"2025","Mathematical modelling of the dynamics of typhoid fever and two modes of  treatment in a Health District in Cameroon.","Model calibrated to cumulative cases Cameroon health district"
"40126322","maybe","dated_counts","2010-2024","2025","Imported Typhoid Fever in Romania Between 2010 and 2024.","fifteen-year imported typhoid case series Romania hospital"
"41045843","maybe","dated_counts","Jul2022-Jul2023","2026","Incidence and antimicrobial resistance profile of multi-drug resistant Salmonella  typhi isolated from blood samples in Khyber Pakhtunkhwa, Pakistan.","seasonal MDR typhoid incidence across Khyber Pakhtunkhwa districts"
"37489494","maybe","outbreak_curve","2016","2023","Outbreak Investigation of Typhoid Fever in the District of Gabes, South of  Tunisia.","Field outbreak investigation Tunisia case-control"
"40735017","maybe","outbreak_curve","2023","2025","A foodborne outbreak of Salmonella Paratyphi C in a Chinese middle school:  Genomic tracing and epidemiological characterization.","School foodborne paratyphoid outbreak likely has case dates"
"41056354","maybe","outbreak_curve","2015","2025","Effective strategies for typhoid conjugate vaccine delivery: Health and economic  insights from the 2015 Kampala outbreak.","Model calibrated to 2015 Kampala outbreak case data"
"42313333","maybe","outbreak_curve","2025","2026","Ceftriaxone-Resistant Enteric Fever Outbreak in Children From Thane: A  Multicenter Prospective Study.","Enteric fever outbreak Thane no dated counts given"
"36722253","maybe","surveillance_trend","2015-2019","2023","Socioeconomic and ethnic inequalities in incidence and severity of enteric fever  in England 2015-2019: analysis of a national enhanced surveillance system.","National enhanced surveillance incidence rates by year"
"36795626","maybe","surveillance_trend","2018-2022","2023","Typhoid Fever Surveillance, Incidence Estimates, and Progress Toward Typhoid  Conjugate Vaccine Introduction - Worldwide, 2018-2022.","Global surveillance report incidence estimates by year"
"37075141","maybe","surveillance_trend","2017-2020","2023","Burden of Typhoid and Paratyphoid Fever in India.","Multi-year weekly surveillance incidence cohort study"
"37312771","maybe","surveillance_trend","2017-2020","2023","Recent public health concerns of the high-altitude tribal population of Lahaul  and Spiti, Himachal Pradesh.","OPD registration data multi-disease including typhoid"
"37775091","maybe","surveillance_trend","2021-2022","2024","Environmental Surveillance for Salmonella Typhi and its Association With Typhoid  Fever Incidence in India and Malawi.","environmental surveillance + typhoid incidence India/Malawi 12 months"
"37840726","maybe","surveillance_trend","2017-2019","2023","Salmonella infection among the pediatric population at a tertiary care children's  hospital in central Nepal: a retrospective study.","Nepal pediatric Salmonella BSI with seasonal case variation"
"37845663","maybe","surveillance_trend","2012-2019","2023","Mapping the stability of febrile illness hotspots in Punjab from 2012 to 2019- a  spatial clustering and regression analysis.","Punjab febrile-illness IDSP enteric-fever spatiotemporal trend"
"37875791","maybe","surveillance_trend","2006-2017","2023","Study on association factors of intestinal infectious diseases based-Bayesian  spatio-temporal model.","China intestinal-infectious-disease typhoid incidence spatiotemporal"
"37930488","maybe","surveillance_trend","2014-2020","2023","Microbial Waterborne Diseases in India: Status, Interventions, and Future  Perspectives.","Review of outbreak deaths by year across India"
"38196058","maybe","surveillance_trend","2010-2019","2024","Typhoid Fever and Non-typhoidal Salmonella Outbreaks: A Portrait of Regional  Socioeconomic Inequalities in Brazil.","Seasonal prevalence variation typhoid by region Brazil"
"38287761","maybe","surveillance_trend","2019-2021","2024","Prevalence and antimicrobial resistance profile of Salmonella typhi infection in  Iraq, 2019-2021.","Iraq S. Typhi confirmed cases by month/year"
"38387472","maybe","surveillance_trend","2016-2019","2024","Evaluating the relationship between ciprofloxacin prescription and  non-susceptibility in Salmonella Typhi in Blantyre, Malawi: an observational study.","Monthly prescription and resistance mutation surveillance Malawi"
"38435768","maybe","surveillance_trend","2013-2019","2023","Typhoid and Non-Typhoid Salmonellosis Related Mortality in Iran, National Data  from the Ministry of Health.","Iran typhoid mortality by year/season/month"
"38467234","maybe","surveillance_trend",NA,"2024","Spatial analysis of food and water-borne diseases in Ahmedabad, India:  Implications for urban public health planning.","Spatial-temporal disease clustering Ahmedabad city"
"38512514","maybe","surveillance_trend","2013-2022","2024","Salmonella infections in Denmark from 2013-2022 with focus on serotype  distribution, invasiveness, age, sex, and travel exposition.","Denmark Salmonella annual incidence; 206 typhoidal cases"
"38686255","maybe","surveillance_trend","2017-2023","2024","Comprehensive Analysis of Salmonella Species Antibiogram and Evolving Patterns in  Empirical Therapy: Insights From Tertiary Care Hospitals in Peshawar, Pakistan.","Peshawar enteric-fever antibiogram; seasonal case clustering 3137 cases"
"38945034","maybe","surveillance_trend","2012-2021","2024","Epidemiology of non-travel enteric fever cases in England: insights from 10 years  of surveillance.","ten-year non-travel enteric fever surveillance dataset England"
"38957275","maybe","surveillance_trend","2010-2022","2024","Tracking the shift in enteric fever trends and evolving antibiotic sensitivity  patterns.","retrospective hospital enteric fever trend over years"
"38964564","maybe","surveillance_trend",NA,"2024","Antibiotic resistance trends in high-risk lineages of Salmonella enterica serovar  Typhi: A study spanning pre to post COVID-19 pandemic.","Pre-post COVID lineage resistance longitudinal proportions"
"39092162","maybe","surveillance_trend",NA,"2024","Evolution of waterborne diseases: A case study of Khyber Pakhtunkhwa, Pakistan.","Cluster evolution analysis waterborne disease districts"
"39267116","maybe","surveillance_trend","1990-2021","2024","Global patterns of syphilis, gonococcal infection, typhoid fever, paratyphoid  fever, diphtheria, pertussis, tetanus, and leprosy from 1990 to 2021: findings from the Global Burden of Disease Study 2021.","GBD modeled incidence trend for typhoid paratyphoid"
"39331692","maybe","surveillance_trend","2021-2022","2024","Environmental surveillance for Salmonella Typhi in rivers and wastewater from an  informal sewage network in Blantyre, Malawi.","environmental wastewater surveillance for Typhi over year"
"39344715","maybe","surveillance_trend","2016-2022","2024","Spatial Interaction Between Leptospirosis and Enteric Fever in Kelantan,  Malaysia: A 2016-2022 Notification Registry Analysis.","notification registry enteric fever cases spatial analysis"
"39382469","maybe","surveillance_trend","2018-2020","2024","Incidence, antimicrobial susceptibility & out of pocket expenditure of severe  enteric fever in Chandigarh, north India.","hybrid surveillance incidence estimate enteric fever India"
"39820842","maybe","surveillance_trend","2017-2020","2025","Machine learning and spatio-temporal analysis of meteorological factors on  waterborne diseases in Bangladesh.","District-level typhoid case counts Bangladesh waterborne ML study"
"40106483","maybe","surveillance_trend","2017-2022","2025","Understanding climate-sensitive diseases in Bangladesh using systematic review  and government data repository.","Government repository climate-disease data includes typhoid case counts"
"40132043","maybe","surveillance_trend","2012-2022","2025","Epidemiology of Burkholderia pseudomallei, Streptococcus suis, Salmonella spp.,  Shigella spp. and Vibrio spp. infections in 111 hospitals in Thailand, 2022.","multi-hospital yearly notifiable disease incidence Thailand includes typhoid"
"40155818","maybe","surveillance_trend","2011-2020","2025","Investigating Google Trends to forecast acute febrile illness outbreaks in North  India reported through the Integrated Disease Surveillance Program.","Weekly IDSP enteric fever incidence modeled with SARIMA"
"40211970","maybe","surveillance_trend","2001-2023","2025","Epidemiological characteristics and trends of notified enteric fevers in Germany,  2001 to 2023.","German enteric fever notifications with seasonal peaks"
"40212028","maybe","surveillance_trend","2017-2019","2025","Trends of Enteric Fever and Emergence of Extensively Drug-Resistant Typhoid in  Pakistan: Population-Based Laboratory Data From 2017-2019.","Retrospective lab-confirmed typhoid trend Pakistan three years"
"40414566","maybe","surveillance_trend","2005-2022","2025","Climatic drivers of infectious diarrheal disease epidemics in China: An empirical  dynamic modeling analysis of 21 million cases.","Nationwide China diarrheal disease data includes typhoid trend"
"40857622","maybe","surveillance_trend","2015-2023","2025","A ""Pandemic-Proof"" Methodology for Outbreak Detection Adapted From COVID-19's  Impact on Notifications of Infectious Diseases in the Netherlands: Surveillance Study.","Dutch notifiable disease trends include typhoid fever counts"
"41180260","maybe","surveillance_trend","2014-2019","2025","The impact of meteorological variables on Salmonella bacteraemia in Mysuru  District, Karnataka State, India: a retrospective time-series analysis.","Retrospective time-series Salmonella bacteraemia India six years"
"41246287","maybe","surveillance_trend","1999-2018","2025","Analysis of the Epidemiological Profile of Typhoid Fever in the State of Pará  Between the Years 1999 and 2018.","Twenty-year clinical case series Para with annual pattern"
"41248470","maybe","surveillance_trend","Jan2022-Dec2023","2025","Australian Group on Antimicrobial Resistance (AGAR) surveillance outcome programs  - bloodstream infections and antimicrobial resistance patterns in Australian children and adolescents, January 2022 - December 2023.","biennial AGAR bloodstream infection AMR surveillance report"
"41285193","maybe","surveillance_trend","2019-2022","2026","Climate variability and infectious disease burden in Coastal Sindh, Pakistan: A  trend analysis (2019-2022).","Ecological trend analysis coastal Sindh includes typhoid incidence"
"41331557","maybe","surveillance_trend","2013-2024","2025","Association between climatic conditions and infectious diseases: implications for  Central Ethiopia region.","Hospital surveillance enteric fever Ethiopia twelve years"
"41438410","maybe","surveillance_trend","2016-2017","2025","Laboratory epidemiology of Salmonella infections and multi-drug resistance  profiles in Nigeria: Barriers, challenges and proposed solutions.","multi-lab Nigeria Salmonella culture positivity yearly comparison"
"41469570","maybe","surveillance_trend","2014-2022","2025","Epidemiological characteristics and spatial clustering analysis of typhoid and  paratyphoid fevers in China, 2014-2022.","National China typhoid paratyphoid incidence trend nine years"
"41542829","maybe","surveillance_trend","2000-2023","2026","Waterborne Diseases in Algeria (2000-2023): Spatiotemporal Trends Analysis and  Public Health Determinants.","Algeria annual waterborne disease reports include typhoid decline"
"41643898","maybe","surveillance_trend","2020-2024","2026","Tracking antimicrobial resistance in typhoidal Salmonella, 2020-2024: Output from  an antimicrobial resistance surveillance network in New Delhi, India.","AMR network annual typhoid isolate counts five years"
"41765662","maybe","surveillance_trend","2008-2024","2026","[Epidemiological characteristics of typhoid fever and paratyphoid fever outbreaks  in China from 2008 to 2024].","China outbreak registry 64 events over sixteen years"
"41817909","maybe","surveillance_trend","2015-2023","2026","Temporal and Regional Trends of Foodborne Diseases in Saudi Arabia (2015-2023): A  Nationwide Retrospective Analysis.","Saudi nationwide enteric fever trend nine years incidence"
"41873408","maybe","surveillance_trend","2017-2024","2026","From Crisis to Control: A Study of Typhoid Conjugate Vaccine Efficacy in Harare,  Zimbabwe (2017-2024).","Zimbabwe pre/post-vaccine typhoid attack rates by district"
"42020166","maybe","surveillance_trend","2015-2024","2026","[Analysis on epidemiological characteristics of typhoid and paratyphoid fever and  patient medical treatment seeking flow in Guizhou Province, 2015-2024].","Guizhou province typhoid paratyphoid annual incidence ten years"
"42057701","maybe","surveillance_trend","2010-2023","2026","A comprehensive review of foodborne disease burden associated with protein foods:  a 13-year evaluation of incidence and outbreaks in high-income countries.","Compilation of surveillance reports includes typhoid paratyphoid outbreaks"
"42134721","maybe","surveillance_trend","2005-2024","2026","Heterogeneous rebound patterns of foodborne diseases after COVID-19  non-pharmaceutical interventions, South Korea, 2005-2024.","South Korea interrupted time series names typhoid pattern"
"42413857","maybe","surveillance_trend","2010-2025","2026","Resurgence of Typhoid Fever in Ghana: A Scoping Review of Epidemiology,  Antimicrobial Resistance Patterns, Geographic Distribution, and Public Health Interventions.","Scoping review synthesizes Ghana typhoid trends possibly extractable"
