"pmid","doi","year","ts_type","period","title"
"36739427","10.1186/s13031-023-00502-3","2023","surveillance_trend","2015-2021","Disruption to water supply and waterborne communicable diseases in northeast  Syria: a spatiotemporal analysis."
"37217879","10.1186/s12889-023-15738-0","2023","surveillance_trend","2015-2019","Spatial heterogeneity of socio-economic determinants of typhoid/paratyphoid fever  in one province in central China from 2015 to 2019."
"37221062","10.3760/cma.j.cn112338-20221116-00977","2023","surveillance_trend","2004-2020","[Epidemiological characteristics of typhoid fever and paratyphoid fever in China,  2004-2020]."
"37253442","10.4269/ajtmh.22-0736","2023","surveillance_trend","2010-2019","Dynamic Incidence of Typhoid Fever over a 10-Year Period (2010-2019) in Kibera,  an Urban Informal Settlement in Nairobi, Kenya."
"37644452","10.1186/s12889-023-16552-4","2023","surveillance_trend","2008-2021","Spatio-temporal pattern and associate factors of intestinal infectious diseases  in Zhejiang Province, China, 2008-2021: a Bayesian modeling study."
"38150409","10.1371/journal.pgph.0002696","2023","surveillance_trend","2017-2021","Water and war: The effect of functioning chlorinated water stations in reducing  waterborne diseases during conflict in northwest Syria, 2017-2021."
"38413058","10.3760/cma.j.cn112338-20230830-00107","2024","surveillance_trend","2011-2022","[Epidemiological characteristics of typhoid fever in Fujian Province, 2011-2022]."
"38728649","10.3855/jidc.18374","2024","surveillance_trend","2019-2022","Trends in typhoid fever during the COVID-19 pandemic in Pakistan."
"39365840","10.1371/journal.pntd.0012558","2024","surveillance_trend","1999-2022","Trends in antimicrobial resistance amongst Salmonella Typhi in Bangladesh: A  24-year retrospective observational study (1999-2022)."
"39502396","10.46234/ccdcw2024.216","2024","surveillance_trend","1989-2022","Trends and Spatial Pattern Analysis of Typhoid and Paratyphoid Fever Incidence -  Yunnan Province, China, 1989-2022."
"40270752","10.3389/fpubh.2025.1550904","2025","surveillance_trend","2001-2020","Spatiotemporal distribution and influencing factors of enteric fever in China: a  cluster analysis based on data from 2001 to 2020."
"40494784","10.3760/cma.j.cn112338-20240920-00586","2025","surveillance_trend","2013-2022","[Epidemiological characteristics of intestinal infectious diseases in China,  2013-2022]."
"40642389","10.1016/j.lansea.2025.100581","2025","surveillance_trend","2018-2023","Modeling the initial impact and predicted future benefits of TCV from two  Pakistani provinces."
"41409555","10.1155/jotm/4081643","2025","surveillance_trend","2016-2023","Spatial and Temporal Distribution of Febrile Illnesses in Uganda: Case Studies of  Brucellosis, Malaria and Typhoid Fever (2016-2023)."
"41564028","10.1371/journal.pntd.0013242","2026","surveillance_trend","Jan2018-Apr2024","Impact of the COVID-19 pandemic and typhoid conjugate vaccine introduction on  typhoid fever in Nepal."
"41769448","10.7759/cureus.102364","2026","surveillance_trend","2014-2024","Changing Trends in the Prevalence, Seasonal Distribution and Antimicrobial  Susceptibility Pattern of Salmonella: An 11-Year Retrospective Study at a Tertiary Care Hospital."
"41783637","10.31729/jnma.v63i290.9200","2025","surveillance_trend","2014-2024","Shifting Enteric Fever Epidemiology in Children in Nepal: Is the Burden of  Salmonella Paratyphi on the Rise?"
"42044148","10.1371/journal.pntd.0014177","2026","surveillance_trend","2004-2023","The typhoid Mary legacy: Genomic epidemiology uncovers contemporary carriage  dynamics across two decades of enteric fever surveillance in England and Wales."
"42374913","10.1177/15353141261465221","2026","surveillance_trend","2001-2024","Typhoid Fever in the Republic of Korea, 2001-2024: Long-Term Decline, Residual  Annual Periodicity, and Southeastern Coastal Spatial Clustering in 24 Years of Nationwide Surveillance."
