Study ID,Outbreak start year,Outbreak end year,Location,Country,Country 3-letter ISO,Admin0_1,Admin0_2,Admin1,WHO region,Diagnostic method,Diagnostic method_1,Diagnostic method_2,Diagnostic method_3,Diagnostic method_4,Diagnostic method_5,Diagnostic method_6,Diagnostic method_7,Diagnostic method_8,Diagnostic method_9,,Suspected/Confirmed/Probable,AMR status,Intervention,Time unit,Start date,End date,Peak date,Intervention date,Case definitions,reporting date(by date of onset / confirmation date / NA),Total suspected cases,Lab tested cases by blood/bone marrow culture,Total confirmed cases,Confirmed cases by blood/ bone marrow culture,Total probable cases,Number of hospitalized,Number of complications,Total deaths,Attack rate (%),CFR (%),Population,Notes
Bayram 2011,2008,2008,"Anatolia, Turkey",Turkey,TUR  ,Turkey,,Anatolia,EUR,"Blood, stool, urine culture",Yes,,Yes,Yes,,,,,,,Suspected/Confirmed,MDR,CHLO,daily,2008-10-15,2008-10-29,2008-10-19,2008-10-18,"Suspected: a stepladder pattern of fever, headache, malaise with loss of appetite, usually with gastrointestinal symptoms and having two or more of the following symptoms/signs: toxic look; relative bradycardia; rose spots on the trunk; splenic enlargement; or non-productive cough.
Confirmed: confirmed by positive stool or blood culture for S. typhi.",NA,637 ,-,91 ,76 ,-,78,-,-,-,-,4700,-
Scobie 2014,2008,2011,Fiji,Fiji,FJI  ,Fiji,,,WPR,"Blood, Stool, or Urine specimen culture",Yes,,Yes,Yes,,,,,,,Suspected/Confirmed,-,ViPS vaccine,monthly,2008-01-01,2011-12-31,2010-05-01,2010-06-01,"Suspected: a person >= 2 years of age with 3 or more days of fever and one or more of the following gastrointestinal symptoms: diarrhea, constipation, or abdominal pain
Confirmed: an infection in a person whose blood, stool, or urine specimen yielded Typhi (¡°positive culture¡±).",confirmation date,1765 ,1449 ,1582 ,1449 ,-,183,-,-,-,-,-,"1560/1582 had information on the source of the specimen for confirmation

For the years 2008?2010, we used the respective annual populations from the FMOH as denominators,and for 2011, we estimated populations based on average annual growth rates during 2008?2010.

"
Lutterloh 2012,2009,2009,Malawi?Mozambique,Malawi?Mozambique,MWI-MOZ  ,Malawi,Mozambique,,AFR,"Blood culture, Stool culture, TUBEX",Yes,,Yes,,,,,Yes,,,Suspected/Confirmed/Probable,MDR,CHLO/EDU,fortnightly,2009-03-01,2009-11-13,2009-09-15,-,"Suspected: illness in a resident of Neno District, Malawi, or Tsangano District, Mozambique, with onset on or after 1 March 2009, who presented with fever (subjective or with a documented temperature >=38 C), and at least 1 of the following signs and symptoms: gastrointestinal illness (abdominal pain, vomiting, diarrhea, or constipation), joint pain, muscle pain, headache, neck pain or stiffness, difficulty walking or talking, arms held in flexion, or mental status changes, with no alternative explanation for the illness.
Probable: required fever and a positive rapid immunoglobulin M antibody test for typhoid (TUBEX TF) 
Confirmed: required either a blood culture yielding Salmonella Typhi, or fever and a stool culture yielding Salmonella Typhi. Patients with positive malaria smears were counted as cases only if there was no response to an initial course of antimalarial medication.",Date of onset,303 ,108 ,46 ,44 ,43 ,81,40,11,-,4,-,43/124 by TUBEX; Results were available for 112 blood cultures from 108 persons who met the case definition; Salmonella Typhi was identified in 46 blood cultures (41%) from 44 persons (41%). Three (60%) of 5 stool cultures yielded Salmonella Typhi; 1 of these was from a person who also had documented Salmonella Typhi bacteremia.
Limpitikul 2014 (1),2009,2010,"Songkhla, Thailand",Thailand,THA  ,Thailand,,Songkhla,SEAR,Blood culture,Yes,,,,,,,,,,Confirmed,susceptible,-,monthly,2009-10-01,2010-03-30,2009-12-01,-,"Suspected: those who lived in the outbreak area with febrile illness without another cause identified
Confirmed: culture-confirmed [blood]",NA,-,137 ,137 ,137 ,-,-,-,0,-,-,-,-
Limpitikul 2014 (2),2010,2011,"Songkhla, Thailand",Thailand,THA  ,Thailand,,Songkhla,SEAR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Confirmed,susceptible,-,monthly,2010-09-01,2011-07-30,2011-01-01,-,"Suspected: those who lived in the outbreak area with febrile illness without another cause identified
Confirmed: culture-confirmed [blood]",NA,-,231 ,231 ,231 ,-,-,-,0,-,-,-,-
Limpitikul 2014 (total),2009,2011,"Songkhla, Thailand",Thailand,THA  ,Thailand,,Songkhla,SEAR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Confirmed,susceptible,-,monthly,2009-10-01,2011-07-30,-,-,"Suspected: those who lived in the outbreak area with febrile illness without another cause identified
Confirmed: culture-confirmed [blood]",NA,-,368 ,368 ,368 ,-,260,49,-,-,-,-,"Population is all children < 15 years old at 3 major hospitals with culture confirmation

Raw xls file availble for the 368 patients"
Hendriksen 2015,2010,2012,"Lusaka, Zambia",Zambia,ZMB  ,Zambia,,Lusaka,AFR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,MDR,-,monthly,2010-01-01,2012-09-30,2012-02-28,-,"Suspected: Did not provide case definition

Confirmed: stool and blood samples, all presumptively S. Typhi-positive colonies were identified by biochemical tests and serogrouping and subsequently subjected to an S. Typhi-specific PCR assay for confirmation. The remaining isolates were either not stored or not viable in Zambia.",NA,2040 ,-,94 ,86 ,-,-,-,10,-,0.5,1420000,-
Walters 2014 (1) ,2009,2011,"Kasese, Uganda",Uganda,UGA  ,Uganda,,Kasese,AFR,Blood and Stool culture,Yes,,Yes,,,,,,,,Suspected/Confirmed,MDR,-,monthly,2009-08-01,2011-12-31,2011-11-30,-,"Suspected: defined as surgically diagnosed intestinal perforation consistent with Salmonella Typhi infection or illness characterized by fever and abdominal pain for >=1 day and at least one of the following signs or symptoms ? gastrointestinal disruptions, such as vomiting, diarrhea, or constipation, general body weakness, joint pain, headache, clinical suspicion for intestinal perforation, or failure to respond to antimalarial medications ? with onset from January 1 to December 31, 2011 in Bundibugyo residents and from August 1, 2009 to December 31, 2011 in residents of other districts, including Kasese.
Confirmed: culture-confirmed [blood, stool]",Date of onset,709 ,74 ,8 ,7 ,-,-,570,-,-,-,-,"In Kasese, but not Bundibugyo, all sources of retrospective case finding recorded only patients with intestinal perforation instead of all patients with suspected typhoid. Selective recognition and documentation of patients with intestinal perforation, the most severe complication of typhoid fever, led to an underestimation of the magnitude of the outbreak and an overestimation of the proportion of reported cases with intestinal perforation. 

Extrapolating from the 570 Kasese intestinal perforation cases identified from August 1, 2009 to December 31, 2011 and the 8% intestinal perforation rate observed through prospective case-finding, we estimate that 7,125 cases of typhoid occurred among Kasese residents during this period, giving an estimated annual incidence of 409 cases per 100,000 persons. In Bundibugyo, where 59 cases with intestinal perforation were reported from January 1 to December 31, 2011 and the intestinal perforation rate was 3%, we estimate that there were 1,967 typhoid fever cases and an annual incidence of 820 cases per 100,000 persons

Salmonella Typhi was isolated from seven (9%) of 74 blood cultures and one (2%) of 47 stool cultures from Kasese patients, and from 15 (21%) of 72 blood cultures and one (10%) of 10 stool cultures from Bundibugyo patients. In total, eight (11%) of 75 Kasese patients and 16 (20%) of 79 Bundibugyo patients tested were culture-confirmed. Two (14%) of 14 patients with intestinal perforation who had a blood culture performed had Salmonella Typhi isolated"
Walters 2014 (2) ,2011,2011,"Bundibugyo, Uganda",Uganda,UGA  ,Uganda,,Bundibugyo,AFR,Blood and Stool culture,Yes,,Yes,,,,,,,,Suspected/Confirmed,MDR,-,monthly,2011-01-01,2011-12-31,2011-08-31,-,"Suspected: defined as surgically diagnosed intestinal perforation consistent with Salmonella Typhi infection or illness characterized by fever and abdominal pain for >=1 day and at least one of the following signs or symptoms ? gastrointestinal disruptions, such as vomiting, diarrhea, or constipation, general body weakness, joint pain, headache, clinical suspicion for intestinal perforation, or failure to respond to antimalarial medications ? with onset from January 1 to December 31, 2011 in Bundibugyo residents and from August 1, 2009 to December 31, 2011 in residents of other districts, including Kasese.
Confirmed: culture-confirmed [blood, stool]",Date of onset,333 ,72 ,16 ,15 ,-,-,59,-,-,-,-,"In Kasese, but not Bundibugyo, all sources of retrospective case finding recorded only patients with intestinal perforation instead of all patients with suspected typhoid. Selective recognition and documentation of patients with intestinal perforation, the most severe complication of typhoid fever, led to an underestimation of the magnitude of the outbreak and an overestimation of the proportion of reported cases with intestinal perforation. 

Extrapolating from the 570 Kasese intestinal perforation cases identified from August 1, 2009 to December 31, 2011 and the 8% intestinal perforation rate observed through prospective case-finding, we estimate that 7,125 cases of typhoid occurred among Kasese residents during this period, giving an estimated annual incidence of 409 cases per 100,000 persons. In Bundibugyo, where 59 cases with intestinal perforation were reported from January 1 to December 31, 2011 and the intestinal perforation rate was 3%, we estimate that there were 1,967 typhoid fever cases and an annual incidence of 820 cases per 100,000 persons

Salmonella Typhi was isolated from seven (9%) of 74 blood cultures and one (2%) of 47 stool cultures from Kasese patients, and from 15 (21%) of 72 blood cultures and one (10%) of 10 stool cultures from Bundibugyo patients. In total, eight (11%) of 75 Kasese patients and 16 (20%) of 79 Bundibugyo patients tested were culture-confirmed. Two (14%) of 14 patients with intestinal perforation who had a blood culture performed had Salmonella Typhi isolated"
Ali 2017,2011,2012,"Kikwit, DRC",DRC,COD  ,DRC,,Kikwit,AFR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,-,-,weekly,2011-11-06,2012-01-14,2011-12-04,-,"Suspected: was any person with fever ¡Ã 38¡ÆC for more than three days and digestive disorders (diarrhea, constipation, abdominal pain) and has a negative malaria test
Confirmed: was a suspected case confirmed by isolation of S. Typhi from blood, bone marrow or duodenal fluid.",NA,1430 ,66 ,63 ,56 ,-,-,71,17,0.6,1.5,400000,"six out of 16 and 7 out of 13, blood and stool culture samples were tested positive for S. Typhi respectively. Then the outbreak was confirmed by the MOPH based on the results of 50 blood and stool samples which were tested in the University Hospital in Kinshasa. Consequently, TF diagnosis was determined based on the clinical definition due to the limited laboratory resources in Kikiwt and the long distance to the laboratory in Kinshasa."
Polonsky 2014 (1),2011,2012,"Dzivaresekwa, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Dzivaresekwa,AFR,"Blood, Bone marrow, bowel fluid or Stool culture",Yes,Yes,Yes,,,,,,,,Confirmed or Suspected,-,-,weekly,2011-10-06,2012-03-17,2011-12-03,-,"Suspected: any person with gradual onset of steadily increasing and then persistently high fever, chills, malaise, headache, sore throat, cough, and, sometimes, abdominal pain and constipation or diarrhoea. 
Confirmed: as a suspected case confirmed by isolation of S. Typhi from blood, bone marrow, bowel fluid or stool.",Date of onset,785 ,-,-,-,-,-,-,-,0.66,-,118271,"For these calculations, suburb- and age-specific population figures were calculated from the 2002 official census of Harare. To estimate the population at the time of the epidemic, we multiplied these figures by an annual average growth rate of 3%, as estimated by the Population Division of the Department of Economic and Social Affairs of the United Nations.

Dzivaresekwa and Kuwadzana accounted for 67.7% of total cases"
Polonsky 2014 (2),2011,2012,"Kuwadzana, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Kuwadzana,AFR,"Blood, Bone marrow, bowel fluid or Stool culture",Yes,Yes,Yes,,,,,,,,Confirmed or Suspected,-,-,weekly,2011-10-27,2012-03-17,2012-01-30,-,"Suspected: any person with gradual onset of steadily increasing and then persistently high fever, chills, malaise, headache, sore throat, cough, and, sometimes, abdominal pain and constipation or diarrhoea. 
Confirmed: as a suspected case confirmed by isolation of S. Typhi from blood, bone marrow, bowel fluid or stool.",Date of onset,1785 ,-,-,-,-,-,-,-,1.13,-,157396,"For these calculations, suburb- and age-specific population figures were calculated from the 2002 official census of Harare. To estimate the population at the time of the epidemic, we multiplied these figures by an annual average growth rate of 3%, as estimated by the Population Division of the Department of Economic and Social Affairs of the United Nations.

Dzivaresekwa and Kuwadzana accounted for 67.7% of total cases"
Polonsky 2014 (total),2011,2012,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,"Blood, Bone marrow, bowel fluid or Stool culture",Yes,Yes,Yes,,,,,,,,Suspected/Confirmed,-,-,weekly,2011-10-10,2012-03-17,-,-,"Suspected: any person with gradual onset of steadily increasing and then persistently high fever, chills, malaise, headache, sore throat, cough, and, sometimes, abdominal pain and constipation or diarrhoea. 
Confirmed: as a suspected case confirmed by isolation of S. Typhi from blood, bone marrow, bowel fluid or stool.",NA,3795 ,-,62 ,-,-,-,-,2,-,0.05,-,"For these calculations, suburb- and age-specific population figures were calculated from the 2002 official census of Harare. To estimate the population at the time of the epidemic, we multiplied these figures by an annual average growth rate of 3%, as estimated by the Population Division of the Department of Economic and Social Affairs of the United Nations.

Dzivaresekwa and Kuwadzana accounted for 67.7% of total cases"
Muti 2014,2011,2012,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,"Blood, Stool, and Urine   culture",Yes,,Yes,Yes,,,,,,,Suspected/Confirmed,CHL,EDU/WASH,daily,2011-10-08,2012-01-06,2011-11-29,2011-11-25,"Suspected: as any person from Dzivaresekwa presenting with any one or more of the following symptoms: fever for more than 3 days, associated with malaise, headache, vomiting, diarrhea or constipation and cough from the 9th of October 2011 to the 12th of December 2011
Confirmed: be positive for Salmonella typhi in stool, urine or blood.",NA,1078 ,-,24 ,-,-,-,0,1,-,-,-,"Since this is case-control study, defined ""cases"" as as any person from Dzivaresekwa presenting with any one or more of the following symptoms: fever for more than 3 days, associated with malaise, headache, vomiting, diarrhea or constipation and cough from the 9th of October 2011 to the 12th of December 2011. But also explicitly indicated 24 were culture confirmed (epi curve does not distinguish between the two though)"
Imanishi 2014 (1),2011,2012,"Dzivaresekwa, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Dzivaresekwa,AFR,"Blood, Stool, and Urine   culture",Yes,,Yes,Yes,,,,,,,Confirmed or Suspected,MDR,chlorine tablets,monthly,2011-10-01,2012-04-30,2011-11-01,2011-11-01,"Suspected: fever of 3 days duration and either malaise, headache, vomiting, diarrhea, constipation, or cough in a person who lived in or visited Harare since October 1, 2011
Confirmed: met the suspected case definition and had Typhi isolated from the blood, stool, or urine culture",Date of onset,1017 ,-,-,-,-,-,-,-,-,-,97000,-
Imanishi 2014 (2),2011,2012,"Kuwadzana, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Kuwadzana,AFR,"Blood, Stool, and Urine   culture",Yes,,Yes,Yes,,,,,,,Confirmed or Suspected,MDR,chlorine tablets,monthly,2011-11-01,2012-04-30,2012-01-01,2012-01-01,"Suspected: fever of 3 days duration and either malaise, headache, vomiting, diarrhea, constipation, or cough in a person who lived in or visited Harare since October 1, 2011
Confirmed: met the suspected case definition and had Typhi isolated from the blood, stool, or urine culture",Date of onset,1965 ,-,-,-,-,-,-,-,-,-,129000,-
Imanishi 2014 (total),2011,2012,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,"Blood, Stool, and Urine   culture",Yes,,Yes,Yes,,,,,,,Suspected/Confirmed,MDR,chlorine tablets,monthly,2011-10-01,2012-04-30,-,-,"Suspected: fever of 3 days duration and either malaise, headache, vomiting, diarrhea, constipation, or cough in a person who lived in or visited Harare since October 1, 2011
Confirmed: met the suspected case definition and had Typhi isolated from the blood, stool, or urine culture",NA,4181 ,-,52 ,-,-,1788,-,2,-,-,-,-
Cherian 2015,2013,2013,"Pondicherry, India",India,IND  ,India,,Pondicherry,SEAR,"Blood culture, Widal test",Yes,,,,,,Yes,,,,Suspected/Confirmed/Probable,-,ANTI,weekly,2013-07-01,2013-07-21,2013-07-14,-,"Probable: with fever for 1 week or more over last 1 month. Blood samples were drawn from all probable cases for further investigations at the medical college
Confirmed: A blood culture growth positive for S. typhi or a fourfold rise in antibody titer on Widal test",NA,9 ,-,2 ,2 ,7 ,4,-,0,3.4,-,226,"Among the cases, two had growth in blood culture and the rest seven had fourfold increase in antibody titers
7 out of 9 confirmed cases with widal test, moved to probable cases (DK)"
Roy 2016,2014,2014,"Assam, India",India,IND  ,India,,Assam,SEAR,"Blood culture, Widal test",Yes,,,,,,Yes,,,,Suspected/Confirmed/Probable,susceptible,-,daily,2014-01-09,2014-02-06,2014-01-20,-,"Did not provide a case definition for Suspected, other than that the 79 patients (included in the epi curve) presented to Jorhat Medical College & Hopital and various private nursing homes at Jorhat, India with fever from a total population of 4050 in the affected areas

Did not provide a case definition for Probable

Confirmed: culture-confirmed [blood]",Date of onset,79 ,13 ,6 ,6 ,73 ,-,-,-,1.95,-,-,"Widal test by slide method done in all the patients (n=79) was found to be 100 per cent positive, whereas the Widal test by tube method done in 10 patients also showed 100 per cent positivity.

According to the WHO classification of typhoid fever, in the present outbreak, the confirmed cases of typhoid were 46.16 per cent (n=6) whereas probable cases were 38.46 per cent (n=5).

73 classfied as probable here based on WHO definition"
Kabwama 2017,2015,2015,"Kampala, Uganda",Uganda,UGA  ,Uganda,,Kampala,AFR,"Blood culture, TUBEX",Yes,,,,,,,Yes,,,Suspected/Confirmed/Probable,MDR,WASH/CHLO,daily,2015-01-01,2015-06-12,2015-03-01,-,"Suspected: onset of fever (¡Ã37.5 ¡ÆC) for ¡Ã3 days from 1 January 2015 onwards, with headache, abdominal pain, a negative test for malaria or failure to respond to anti-malaria treatment, and ¡Ã2 of the following symptoms: diarrhea, nausea or vomiting, constipation, or fatigue
Probable: a suspected case whose serum sample yielded a positive TUBEX¢ç TF test
Confirmed: a suspected case whose blood culture yielded S. Typhi",Date of onset,10230 ,364 ,51 ,51 ,1038 ,-,-,-,0.95,-,1076842,"Cases were reported in all five divisions of
Kampala: Makindye (32%, 3234), Rubaga (28%, 2828),
Kawempe (11%, 1144), Nakawa (6.4%, 656) and Central
(4.2%, 428); for 19% (1940) of cases, either no division of
residence was identified, or resided outside of Kampala.
population was calculated by attack rate: 1,076,842"
Burnsed 2018,2015,2015,"Oklahoma, USA",USA,USA  ,USA,,Oklahoma,AMR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,susceptible,WASH/EDU,daily,2015-01-19,2015-03-31,2015-01-31,-,"Probable: a person with clinically compatible illness (e.g. diarrhoea, fever, etc.) who had close, personal contact to a confirmed case. Close, personal contact was defined as either household contacts or individuals who attended any of the community gatherings linked to the outbreak
Confirmed: defined as a person with isolation of S. Typhi from a stool or blood culture, with one of the designated outbreak patterns (XbaI restriction enzyme patterns JPPX01.0255, JPPX01.1200, JPPX01.1201 or JPPX01.1029) as determined by pulsed-field gel electrophoresis (PFGE)",Date of onset,38 ,-,25 ,16 ,-,14,-,0,-,-,-,13 probable cases defined by author were moved to suspected by our team due to WHO definition
Qamar 2018,2016,2017,"Hyderabad, Pakistan",Pakistan,PAK  ,Pakistan,,Hyderabad,EMR,Blood culture,Yes,,,,,,,,,,Confirmed,XDR,Active surveillance,weekly,2016-11-21,2017-12-31,2017-05-22,-,"Suspected: a resident of Hyderabad with a fever of (¡Ã37¡¤5oC) for at least 3 days from Nov 30, 2016, onwards, without any other cause identified.
Confirmed: a resident of Hyderabad district with blood-culture confirmed ceftriaxone-resistant S Typhi infection. ",NA,-,586 ,486 ,486 ,-,96,71,1,-,>1,3500000,"Case-control, cases are specifically those with ceftriaxone-resistant S Typhi infection. we identified 486 blood culture-confirmed cases of ceftriaxone-resistant S Typhi, 416 of which were identified through the clinical laboratory of Aga Khan University Karachi. Of the 170 people suspected to have S Typhi infection and enrolled through active surveillance, only 70 infections were confirmed through blood culture and sensitivity testing.
For Hospitalized and complication number, the denominator was 200 as the study was case-control study"
