"summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"A11","Valenciano 2000","Paris, France (floating restaurant)","1998",27,,,,,FALSE,FALSE,"cannot assess - full text unavailable",,,,,"patients","cannot assess","cannot assess","cannot assess","cannot assess","cannot assess","unassessable","MISFILED IN ZOTERO: storage/AW7IPIVI contains Borgdorff et al. 2001 (M. tuberculosis transmission, Am J Epidemiol 154:934-43), not Valenciano. Paper is absent from the library","cannot assess","cannot assess","full text retrieval required","Valenciano 2000","THIRD confirmed Zotero misfiling (after Davis 2018 -> Yellow Fever and Poncin 2018 -> cholera). Verified via PDF metadata (Title: borgdorff.qxd) and a sweep of every .zotero-ft-cache; all 14 'Valenciano' hits are reference-list citations inside other papers. Needs re-download before this row can be filled. Appiah ref 90; Am J Epidemiol 2000;152:934-939."
"A12","Anand 2010","Thar desert village, Rajasthan, India","2007",219,,,,10.4,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (Indian J Med Res 2010;131:799-803)","not assessed","not assessed","full text retrieval required","Anand 2010","HIGHEST-PRIORITY UNRETRIEVED ROW: 219 cases with a 10.4% attack rate, within Koh's window but absent from Koh. Appiah ref 94."
"A13","Kulkarni 1996","Village in Maharashtra, India","1995",415,,22,,13.7,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (J Commun Dis 1996;28:117-121)","not assessed","not assessed","full text retrieval required","Kulkarni 1996","Second-highest-priority unretrieved row: 415 cases, 13.7% attack rate. Appiah reports '86 suspected and 22 laboratory-confirmed cases were reported from one village' with chemoprophylaxis and contact vaccination. Pre-2000 so outside Koh's window, but PPV has no time restriction. Appiah ref 64."
"A14","Al-Qarawi 1995","Tabuk City, Saudi Arabia","1992",185,,,,0.1,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (Epidemiol Infect 1995;114:41-50)","not assessed","not assessed","full text retrieval required","Al-Qarawi 1995","185 cases; typhoid from water desalinated using reverse osmosis. Appiah ref 60."
"A15","Arora 1992","Calcutta, India","1989-1990",117,,,,,FALSE,FALSE,"not assessed",,,,,"patients","blood culture alone per Appiah","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (Indian Pediatr 1992;29:61-66)","not assessed","not assessed","full text retrieval required","Arora 1992","One of Appiah's EIGHT blood-culture-alone papers (ref 44) and the largest of them (117 cases). Highest-value unretrieved row for specimen specificity."
"A16","Goh 1992","Psychiatric institution, Singapore","1990",95,,,,4.8,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (Epidemiol Infect 1992;108:221-230)","not assessed","not assessed","full text retrieval required","Goh 1992","95 cases, institutional direct-contact transmission. Reactive Vi campaign with estimated VE 66% after the second dose. Appiah ref 48."
"A17","Birkhead 1993","Resort hotel, New York, USA","1989",68,,,,7.5,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (J Infect Dis 1993;167:1228-1232)","not assessed","not assessed","low priority: high-income foodborne point source","Birkhead 1993","68 cases, resort hotel outbreak. Appiah ref 80."
"A18","Al-Zubaidy 1995","Al-Mudhnab, Saudi Arabia","1992",27,,,,,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (East Afr Med J 1995;72:373-375)","not assessed","not assessed","low priority: n likely <20 tested","Al-Zubaidy 1995","27 cases at a potluck dinner among children. Appiah ref 87."
"A19","Ramanan 1992","Bangalore, India","1990",15,,,,,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (Indian Pediatr 1992;29:118-120)","not assessed","not assessed","exclude: n<20","Ramanan 1992","15 cases; fails the n>=20 rule on the case count alone. Appiah ref 93."
"A20","Loharikar 2012","Nevada, USA","2010",12,,,,,FALSE,FALSE,"not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not retrieved (Clin Infect Dis 2012;55:61-66)","not assessed","not assessed","exclude: n<20","Loharikar 2012","12 cases, frozen mamey pulp imported from Guatemala. Fails n>=20. Appiah ref 67."
"A21","Yoon 2004","Queens, New York City, USA","2000",7,,,,,FALSE,FALSE,"None - no syndromic category exists",,"7",,,"patients","blood culture only","No formal definition. Cases constituted by laboratory result: '7 cases of typhoid fever infection were diagnosed (6 in Queens and 1 in Manhattan) by positive blood culture results'","Not reported. Testing was incidental clinical care; NYC DOH investigated but no case-finding protocol or screening denominator is described","not assessed","pi = 1 by construction: cases ARE the blood-culture positives","unassessable","primary paper READ (Zotero KJWRVYP8); Arch Intern Med 2004;164:565-567","not eligible: pattern (a), cases defined by culture positivity","not eligible","exclude","Yoon 2004","RE-READ after being wrongly skipped on the n>=20 rule. Ineligible for a better reason than size: cases are DEFINED by blood-culture positivity. Clinical-observation piece on 4 of 7 cases at one hospital, not an epidemiological report. Incidental Se_BC datum: Case 3's initial ED blood cultures were STERILE during active illness mimicking viral hepatitis; only repeat cultures 3 weeks later grew S. Typhi."
"A22","Reller 2003","Ohio, Kentucky, Indiana, USA","2000",9,,,,,FALSE,FALSE,"8 symptomatic cases (6 symptomatic culture-confirmed + 2 probable), reconstructed - the paper never reports a screened denominator",,"5",,,"patients","confirmed definition POOLS blood and stool; positives are separable (4 blood-only, 2 stool-only, 1 both) but TESTED counts are not","Culture-confirmed = isolation of S. Typhi from stool specimens OR blood samples. Probable = acute illness with >=3 days documented fever >=38.5 C and >=3 other symptoms (headache, malaise, anorexia, nausea, abdominal discomfort, dry cough, myalgia) WITHOUT isolation of S. Typhi","Active hospital/laboratory surveillance plus retrospective ED chart review plus contact tracing. Food handlers screened by stool and serology, never blood. The number blood-cultured is never reported","not assessed","Structurally eligible, empirically not: blood_tested is never reported; the confirmed definition pools blood with stool; and 'probable' is the COMPLEMENT of confirmed, not a superset, so 5/8 is a case-series composition rather than a test PPV","unassessable","primary paper READ (Zotero CZSD4K5R); Clin Infect Dis 2003;37:141-144","not eligible: no blood-tested denominator","not eligible","exclude (eligible in structure, ineligible in data)","Reller 2003","RE-READ after being wrongly skipped on n>=20. THE ONLY one of the four small papers with a genuine symptom-only probable definition. Fails on three counts: blood_tested never reported; confirmed pools blood+stool; probable defined as 'without isolation' is ambiguous between untested and test-negative (patients F and I). MSM sexual-transmission cluster from one asymptomatic carrier with gallstones."
"A23","Hancock-Allen 2016","Weld County, Colorado, USA","2015",3,,,,,FALSE,FALSE,"None - no syndromic category exists",,,,,"patients","BLOOD IS NEVER MENTIONED in the paper. Only rectal swab and stool, and only for the carrier definition and employee screen","Clinically compatible illness WITH isolation of S. Typhi AND an isolate matching one of two PFGE outbreak patterns","Passive notifiable-disease reporting plus a health alert. The only cohort-wide screen was 28/28 restaurant employees by self-collected RECTAL SWAB - asymptomatic staff, not symptomatic patrons","not assessed","Worse than pi=1: the PFGE requirement makes cases a SUBSET of culture-positives, so a syndromic denominator is structurally impossible","unassessable","primary paper READ (Zotero B5STER4I); MMWR 2016;65:606-607","not eligible: pattern (a) plus a PFGE-match requirement","not eligible","exclude","Hancock-Allen 2016","RE-READ after being wrongly skipped on n>=20. Blood culture is never mentioned anywhere in the paper. Illustrates the general defect of the high-income foodborne stratum: carriers are screened by stool/rectal swab, patients are never screened by blood, so the cohort arm cannot yield a blood denominator."
"A24","Kobayashi 2016","Japan","2014",7,,,,,FALSE,FALSE,"None - no syndromic category exists",,"7",,,"patients","patients: blood only (clean). Employee/carrier screen: urine and stool, NOT blood","No case definition stated. Cases constituted by diagnosis plus blood culture: 'S. enterica Typhi was isolated from blood culture samples in all seven patients'; antimicrobials started 'from the day of diagnosis (with blood culture positivity)'","Not reported. Patients presented independently to four hospitals and were captured by Japan's notifiable-disease surveillance. The only cohort screen was 7/7 asymptomatic employees by urine/stool","not assessed","pi = 1 by construction: 7/7 blood-positive because blood positivity defines the case","unassessable","primary paper READ (Zotero I985QLEY); Am J Trop Med Hyg 2016;94:289-291","not eligible: pattern (a)","not eligible","exclude","Kobayashi 2016","RE-READ after being wrongly skipped on n>=20. Covers only 7 of 14 confirmed cases in the health department's records. Index carrier (Nepali chef) found by stool, not blood. Same structural defect as Hancock-Allen: the cohort screen used urine/stool on asymptomatic staff."
