"who_region","appiah_ref","citation","why_absent_from_koh","index_ppv_audit_status","index_disposition","covidence_id","source_title","authors","publication_year","doi","zotero_pdf","pdf_pages","searchable_characters","record_type","prior_audit_source","summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"Americas",66,"Katz DJ, Cruz MA, Trepka MJ, Suarez JA, Fiorella PD, Hammond RM, 2002. An outbreak of typhoid fever in Florida associated with an imported frozen fruit. J Infect Dis 186:234-239.","pre-2000 outbreak","READ (earlier pass) - 16 tested / 15 positive; n<20","exclude","#288","An outbreak of typhoid Fever in Florida associated with an imported frozen fruit","Katz, D. J.; Cruz, M. A.; Trepka, M. J.; Suarez, J. A.; Fiorella, P. D.; Hammond, R. M.","2002","10.1086/341208","C:/Users/jonghoon.kim/Zotero/storage/2BB43G9Q/Katz et al. - 2002 - An outbreak of typhoid Fever in Florida associated.pdf","6","41049","small outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 66","Katz 2002","Florida, USA","1998-1999","16",,,,,"FALSE","FALSE","15 confirmed and 1 probable case identified through surveillance",,,,,"patients","stool, blood or urine culture pooled in the confirmed-case definition","","","","Specimen-specific tested and positive counts are not reported; case finding is confirmation-driven.","critical","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Katz 2002","The 15/16 confirmation fraction is not blood-culture positivity and must not enter the PPV model."
"Americas",45,"Yoon J, Segal-Maurer S, Rahal JJ, 2004. An outbreak of domestically acquired typhoid fever in Queens, NY. Arch Intern Med 164:565-567.","in Koh window","READ - cases DEFINED by blood-culture positivity (pattern a)","exclude","#617","An outbreak of domestically acquired typhoid fever in Queens, NY","Yoon, J.; Segal-Maurer, S.; Rahal, J. J.","2004","10.1001/archinte.164.5.565","C:/Users/jonghoon.kim/Zotero/storage/KJWRVYP8/Yoon et al. - 2004 - An outbreak of domestically acquired typhoid fever.pdf","3","26732","small outbreak case series","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 45","Yoon 2004","Queens, New York, USA","2000","7",,,,,"FALSE","FALSE","Seven patients identified by positive blood cultures","7","7","1","1","patients","blood culture","Reported cases were diagnosed by positive blood culture","not assessed","not assessed","Confirmation-defined case series; no independent suspected-case denominator.","critical","primary Zotero full text screened (Yoon et al. - 2004 - An outbreak of domestically acquired typhoid fever.pdf)","exclude: n<20","exclude: n<20","exclude","Yoon 2004","Seven linked cases, all blood-culture positive by construction; 7/7 is not an estimable PPV observation."
"Americas",56,"Reller ME et al., 2003. Sexual transmission of typhoid fever: a multistate outbreak among men who have sex with men. Clin Infect Dis 37:141-144.","in Koh window","READ - symptom-only probable definition exists, but blood_tested never reported","exclude","#487","Sexual transmission of typhoid fever: a multistate outbreak among men who have sex with men","Reller, M. E.; Olsen, S. J.; Kressel, A. B.; Moon, T. D.; Kubota, K. A.; Adcock, M. P.; Nowicki, S. F.; Mintz, E. D.","2003","10.1086/375590","C:/Users/jonghoon.kim/Zotero/storage/CZSD4K5R/Reller et al. - 2003 - Sexual transmission of typhoid fever a multistate.pdf","4","23088","small outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 56","Reller 2003","Ohio, Kentucky and Indiana, USA","2000","9",,,,,"FALSE","FALSE","Seven culture-confirmed and two probable outbreak-linked patients",,,,,"patients","blood or stool culture pooled for confirmed cases","not assessed","not assessed","not assessed","No number of independently suspected persons cultured and no blood-specific denominator.","critical","primary Zotero full text screened (Reller et al. - 2003 - Sexual transmission of typhoid fever a multistate.pdf)","exclude: n<20","exclude: n<20","exclude","Reller 2003","Small confirmation-driven multistate outbreak; specimen-specific PPV cannot be recovered."
"Americas",67,"Loharikar A et al., 2012. Typhoid fever outbreak associated with frozen mamey pulp imported from Guatemala to the Western United States, 2010. Clin Infect Dis 55:61-66.","in Koh window","READ (Zotero X55ZAMP5). Pattern (a), and a STRICTER instance: cases are the PFGE-MATCHED SUBSET of culture-positives - 'a person whose specimen yielded Salmonella serotype Typhi MATCHING THE OUTBREAK STRAIN'. Specimen type is never named ('specimen'), so the 12 cases cannot even be attributed to blood. No probable/suspected tier of any kind. Screening was of 37 ASYMPTOMATIC plant workers by stool+serum; household contacts by stool. Zero blood screening of symptomatic patients.","exclude: pattern (a) + PFGE-match subset; specimen not blood-specific","#351","Typhoid fever outbreak associated with frozen mamey pulp imported from Guatemala to the western United States, 2010","Loharikar, A.; Newton, A.; Rowley, P.; Wheeler, C.; Bruno, T.; Barillas, H.; Pruckler, J.; Theobald, L.; Lance, S.; Brown, J. M.; Barzilay, E. J.; Arvelo, W.; Mintz, E.; Fagan, R.","2012","10.1093/cid/cis296","C:/Users/jonghoon.kim/Zotero/storage/X55ZAMP5/Loharikar et al. - 2012 - Typhoid fever outbreak associated with frozen mame.pdf","6","42074","small outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 67","Loharikar 2012","Nevada, California and Oregon, USA","2010","12",,,,,"FALSE","FALSE","Twelve cases defined by recovery of the outbreak S. Typhi strain",,,,,"patients","positive clinical specimens; patient specimen types not disaggregated","Illness with a specimen yielding the outbreak strain","not assessed","not assessed","Culture-confirmed case definition and no number of clinically suspected persons tested.","critical","primary Zotero full text screened (Loharikar et al. - 2012 - Typhoid fever outbreak associated with frozen mame.pdf)","not assessed","not assessed","exclude","Loharikar 2012","All 12 are confirmation-defined PulseNet cases; there is no blood-culture-tested suspect denominator."
"Americas",92,"Hancock-Allen J, Cronquist AB, Peden J, Adamson D, Corral N, Brown K, 2016. Notes from the field: typhoid fever outbreak associated with an asymptomatic carrier at a restaurant - Weld county, Colorado, 2015. MMWR 65:606-607.","in Koh window","READ - cases require isolation PLUS PFGE match; blood never mentioned","exclude","#234","Notes from the Field: Typhoid Fever Outbreak Associated with an Asymptomatic Carrier at a Restaurant - Weld County, Colorado, 2015","Hancock-Allen, J.; Cronquist, A. B.; Peden, J.; Adamson, D.; Corral, N.; Brown, K.","2016","10.15585/mmwr.mm6523a4","C:/Users/jonghoon.kim/Zotero/storage/B5STER4I/Hancock-Allen et al. - 2016 - Notes from the Field Typhoid Fever Outbreak Assoc.pdf","2","13077","small outbreak report","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 92","Hancock-Allen 2016","Weld County, Colorado, USA","2015","3",,,,,"FALSE","FALSE","Three culture-confirmed restaurant-associated patients; carrier investigation separate",,"3",,,"patients","patient isolates; employee screening used stool/rectal swabs","not assessed","not assessed","not assessed","Case ascertainment begins with culture confirmation; no independently defined suspected denominator.","unassessable","primary Zotero full text screened (Hancock-Allen et al. - 2016 - Notes from the Field Typhoid Fever Outbreak Assoc.pdf)","exclude: n<20","exclude: n<20","exclude","Hancock-Allen 2016","Three-patient outbreak linked to an asymptomatic food worker. Too small and confirmation-defined."
"SE Asia",44,"Arora R, Gupta A, Joshi N, Kataria V, Lall P, Anand A, 1992. Multidrug resistant typhoid fever: study of an outbreak in Calcutta. Indian Pediatr 29:61-66.","pre-2000","BLOCKED - PMID 1601498. Not open access (Europe PMC: no OA, no PMC id). Indian Pediatrics archive returns HTTP 403; 1992 issues appear not to be digitised. NEEDS INSTITUTIONAL ACCESS / ILL. Abstract shows PAIRED blood + bone marrow (BC 83.7%, BM 100%, Widal 13.5% of 103 admitted)","ILL PRIORITY 1 - possible 11th paired BC/BM study","","Arora R, Gupta A, Joshi N, Kataria V, Lall P, Anand A, 1992. Multidrug resistant typhoid fever: study of an outbreak in Calcutta. Indian Pediatr 29:61-66.","Arora R, Gupta A, Joshi N, Kataria V, Lall P, Anand A","1992","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 44","Arora 1992","Calcutta, India","1989-1990","117",,,,,"FALSE","FALSE","not assessed",,,,,"patients","blood culture alone per Appiah","not assessed","not assessed","not assessed","not assessed","unassessable","full text not available in Zotero; evidence limited to indexed abstract; BLOCKED - PMID 1601498. Not open access (Europe PMC: no OA, no PMC id). Indian Pediatrics archive returns HTTP 403; 1992 issues appear not to be digitised. NEEDS INSTITUTIONAL ACCESS / ILL. Abstract shows PAIRED blood + bone marrow (BC 83.7%, BM 100%, Widal 13.5% of 103 admitted)","not assessed","not assessed","full text retrieval required","Arora 1992","One of Appiah's EIGHT blood-culture-alone papers (ref 44) and the largest of them (117 cases). Highest-value unretrieved row for specimen specificity."
"SE Asia",93,"Ramanan A, Pandit N, Yeshwanth M, 1992. Unusual complications in a multidrug resistant Salmonella typhi outbreak. Indian Pediatr 29:118-120.","pre-2000","BLOCKED - PMID 1601484. Indian Pediatrics, no OA; ABSTRACT IS EMPTY in PubMed, so nothing can be resolved without the full text. n=15 fails n>=20 regardless","low priority: n<20","","Ramanan A, Pandit N, Yeshwanth M, 1992. Unusual complications in a multidrug resistant Salmonella typhi outbreak. Indian Pediatr 29:118-120.","Ramanan A, Pandit N, Yeshwanth M","1992","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 93","Ramanan 1992","Bangalore, India","1990","15",,,,,"FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not available in Zotero; evidence limited to indexed abstract; BLOCKED - PMID 1601484. Indian Pediatrics, no OA; ABSTRACT IS EMPTY in PubMed, so nothing can be resolved without the full text. n=15 fails n>=20 regardless","not assessed","not assessed","exclude: n<20","Ramanan 1992","15 cases; fails the n>=20 rule on the case count alone. Appiah ref 93."
"SE Asia",64,"Kulkarni A, Powar R, Mangalkar S, Kulkarni V, Nagalgaonkar R, 1996. Epidemiological investigation of an outbreak of enteric fever in a village in Maharashtra. J Commun Dis 28:117-121.","pre-2000","BLOCKED - PMID 8810147. J Commun Dis, no OA. Abstract: 'Laboratory investigations in SELECTED CASES confirmed it to be an outbreak of enteric fever' - explicit selective testing, no counts. NEEDS ILL","ILL PRIORITY 3","","Kulkarni A, Powar R, Mangalkar S, Kulkarni V, Nagalgaonkar R, 1996. Epidemiological investigation of an outbreak of enteric fever in a village in Maharashtra. J Commun Dis 28:117-121.","Kulkarni A, Powar R, Mangalkar S, Kulkarni V, Nagalgaonkar R","1996","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 64","Kulkarni 1996","Village in Maharashtra, India","1995","415",,"22",,"13.7","FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not available in Zotero; evidence limited to indexed abstract; BLOCKED - PMID 8810147. J Commun Dis, no OA. Abstract: 'Laboratory investigations in SELECTED CASES confirmed it to be an outbreak of enteric fever' - explicit selective testing, no counts. NEEDS ILL","not assessed","not assessed","full text retrieval required","Kulkarni 1996","Second-highest-priority unretrieved row: 415 cases, 13.7% attack rate. Appiah reports '86 suspected and 22 laboratory-confirmed cases were reported from one village' with chemoprophylaxis and contact vaccination. Pre-2000 so outside Koh's window, but PPV has no time restriction. Appiah ref 64."
"SE Asia",42,"Swaddiwudhipong W, Kanlayanaphotporn J, 2001. A common-source water-borne outbreak of multidrug-resistant typhoid fever in a rural Thai community. J Med Assoc Thai 84:1513-1517.","pre-2000","READ - 5/10 blood, 90.9% tested fraction, LOW bias","SENSITIVITY (fails n>=20)","#550","A common-source water-borne outbreak of multidrug-resistant typhoid fever in a rural Thai community","Swaddiwudhipong, W.; Kanlayanaphotporn, J.","2001","","C:/Users/jonghoon.kim/Zotero/storage/KB9PGSJH/Swaddiwudhipong and Kanlayanaphotporn - 2001 - A common-source water-borne outbreak of multidrug-.pdf","6","888","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 42","Swaddiwudhipong 2001","Rural village, Poppra District, Tak Province, Thailand (Thai-Myanmar border)","1999","11","10","5","0.5",,"FALSE","FALSE","11 suspected cases identified by active village surveillance, defined independently of culture result","10","5","0.5","0.909","patients","BLOOD (hemoculture) only for cases; stool used solely to screen contacts","Fever for >=3 days plus >=3 of abdominal pain, diarrhoea/constipation, nausea/vomiting, malaise/headache, rose spots, splenomegaly, with no other pathogen identified such as malaria","Near-complete testing of the syndromic frame: hemoculture performed in 10 of 11 suspected cases. Active village surveillance, not severity- or admission-gated. The basis for the single untested case is not reported","No epidemic curve; onset range only (31 Oct - 11 Nov 1999)","COMPATIBLE: an explicit syndromic denominator defined independently of culture, with a blood-only numerator and denominator","low","primary paper reviewed (Zotero KB9PGSJH)","not eligible under the current n>=20 rule (n=10), but methodologically the cleanest new candidate found","candidate: the only new study whose tested group plausibly represents its suspected frame","sensitivity only (fails n>=20)","Swaddiwudhipong 2001","THE CLEANEST NEW CANDIDATE. Blood-only PPV 5/10 = 50.0%, stated verbatim by the authors, with a 90.9% tested fraction and an active-surveillance denominator - the only one of eleven that approaches the target estimand. Fails only on size. Village population 749; 1 death (CFR 9.1%). Note positivity 0.50 approaches Se_BC (~0.62), implying pi near 0.8, consistent with an exposure-linked point-source frame rather than community surveillance."
"SE Asia",94,"Anand PK, Ramakrishnan R, 2010. Investigation of the outbreak of typhoid in a village of Thar desert Rajasthan, India. Indian J Med Res 131:799-803.","in Koh window","BLOCKED - PMID 20571169. Indian J Med Res, no OA per Europe PMC. Abstract shows WIDAL ONLY: 'Forty three serum samples were reported positive for Widal agglutination test out of 70 tested' - no blood culture mentioned. Likely ineligible","ILL PRIORITY 4 - likely Widal-only","","Anand PK, Ramakrishnan R, 2010. Investigation of the outbreak of typhoid in a village of Thar desert Rajasthan, India. Indian J Med Res 131:799-803.","Anand PK, Ramakrishnan R","2010","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 94","Anand 2010","Thar desert village, Rajasthan, India","2007","219",,,,"10.4","FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not available in Zotero; evidence limited to indexed abstract; BLOCKED - PMID 20571169. Indian J Med Res, no OA per Europe PMC. Abstract shows WIDAL ONLY: 'Forty three serum samples were reported positive for Widal agglutination test out of 70 tested' - no blood culture mentioned. Likely ineligible","not assessed","not assessed","full text retrieval required","Anand 2010","HIGHEST-PRIORITY UNRETRIEVED ROW: 219 cases with a 10.4% attack rate, within Koh's window but absent from Koh. Appiah ref 94."
"SE Asia",62,"Bhunia R, Hutin Y, Ramakrishnan R, Pal N, Sen T, Murhekar M, 2009. A typhoid fever outbreak in a slum of South Dumdum municipality, West Bengal, India, 2007. BMC Public Health 9:115.","in Koh window","READ (earlier pass) - only 4 tested; n<20","exclude","","Bhunia R, Hutin Y, Ramakrishnan R, Pal N, Sen T, Murhekar M, 2009. A typhoid fever outbreak in a slum of South Dumdum municipality, West Bengal, India, 2007. BMC Public Health 9:115.","Bhunia R, Hutin Y, Ramakrishnan R, Pal N, Sen T, Murhekar M","2009","","","","","","","Appiah ref 62","Bhunia 2009","South Dumdum, West Bengal, India","2007","103","","","","","FALSE","FALSE","","","","","","patients","","","","","","","review reconciliation record; READ (earlier pass) - only 4 tested; n<20","not eligible; see audit notes","","exclude","Bhunia 2009",""
"SE Asia",46,"Singla N, Bansal N, Gupta V, Chander J, 2013. Outbreak of Salmonella Typhi enteric fever in sub-urban area of north India: a public health perspective. Asian Pac J Trop Med 6:167-168.","in Koh window","READ (earlier pass) - no blood-culture denominator","exclude","#528","Outbreak of Salmonella Typhi enteric fever in sub-urban area of North India: a public health perspective","Singla, N.; Bansal, N.; Gupta, V.; Chander, J.","2013","10.1016/s1995-7645(13)60017-6","C:/Users/jonghoon.kim/Zotero/storage/HHKP6AWB/Singla et al. - 2013 - Outbreak of Salmonella Typhi enteric fever in sub-.pdf","2","13987","outbreak isolate series","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 46","Singla 2013","Chandigarh, India","2009-2010",,,,,,"FALSE","FALSE","",,"18",,,"patients","18 outbreak-area blood-culture isolates (27 S. Typhi isolates laboratory-wide)","","","","No total blood cultures or suspected patients; retrospective isolate cluster.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Singla 2013","Do not use 18/27 as PPV: 27 is the number of positive S. Typhi isolates in the laboratory window, not the number tested."
"SE Asia",54,"Purighalla S et al., 2017. Investigation into a community outbreak of Salmonella Typhi in Bengaluru, India. Indian J Med Res 146(Suppl):S15-S22.","in Koh window","READ - confirmed-case series; no denominator","exclude","#468","Investigation into a community outbreak of Salmonella Typhi in Bengaluru, India","Purighalla, S.; Esakimuthu, S.; Reddy, M.; Seth, T.; Patil, S. D.; Varghese, G. K.; Dasarathy, R.; Richard, V. S.; Sambandamurthy, V. K.","2017","10.4103/ijmr.IJMR_1201_16","C:/Users/jonghoon.kim/Zotero/storage/TKZHANV6/Purighalla et al. - 2017 - Investigation into a community outbreak of Salmone.pdf","8","42297","outbreak isolate series","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 54","Purighalla 2017","Bengaluru (HSR Layout), Karnataka, India","2015-2016","24",,"24",,,"FALSE","FALSE","None - isolates were collected consecutively from the laboratory",,"24",,,"patients","BLOOD culture only (20 mL, BD Phoenix)","None. Cases are defined by isolate recovery: 24 S. Typhi isolates collected consecutively from blood cultures","Not reported. Clinician-ordered culture at a private tertiary hospital; the paper never states who was cultured or how many","No figure, but per-isolate dates of isolation are tabulated, so a confirmed-case series is reconstructable","No denominator of any kind: this is a lab isolate series, not a case series","unassessable","primary paper reviewed (Zotero TKZHANV6)","not eligible: confirmed-case series with no denominator","not eligible","exclude","Purighalla 2017","Molecular typing (ERIC-PCR) paper, not an epidemiological investigation: no case definition, no line list, no case-finding. Table has internal date errors contradicting the stated Dec 2015-Mar 2016 window (entries dated 2015 and Oct 2016)."
"W Pacific",48,"Goh K, Teo S, Tay L, Monteiro E, 1992. Epidemiology and control of an outbreak of typhoid in a psychiatric institution. Epidemiol Infect 108:221-230.","pre-2000","ABSTRACT RESOLVES IT - '95 (4.8%) of the 1965 inmates were infected, 47 with symptoms and 48 asymptomatic'; ascertained by RECTAL SWABBING, not blood; cases defined by infection status. PMID 1582465. Full text IS open access via Europe PMC","exclude: infection-defined, wrong specimen","","Goh K, Teo S, Tay L, Monteiro E, 1992. Epidemiology and control of an outbreak of typhoid in a psychiatric institution. Epidemiol Infect 108:221-230.","Goh K, Teo S, Tay L, Monteiro E","1992","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 48","Goh 1992","Psychiatric institution, Singapore","1990","95",,,,"4.8","FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","indexed abstract screened; ABSTRACT RESOLVES IT - '95 (4.8%) of the 1965 inmates were infected, 47 with symptoms and 48 asymptomatic'; ascertained by RECTAL SWABBING, not blood; cases defined by infection status. PMID 1582465. Full text IS open access via Europe PMC","not assessed","not assessed","exclude: infection-defined, wrong specimen","Goh 1992","95 cases, institutional direct-contact transmission. Reactive Vi campaign with estimated VE 66% after the second dose. Appiah ref 48."
"W Pacific",96,"Olsen SJ et al., 2001. Restaurant-associated outbreak of Salmonella typhi in Nauru: an epidemiological and cost analysis. Epidemiol Infect 127:405-412.","pre-2000","READ - 19 tested ANY specimen (all positive); only 9 blood","exclude","#436","Restaurant-associated outbreak of Salmonella typhi in Nauru: an epidemiological and cost analysis","Olsen, S. J.; Kafoa, B.; Win, N. S.; Jose, M.; Bibb, W.; Luby, S.; Waidubu, G.; O'Leary, M.; Mintz, E.","2001","10.1017/s0950268801006033","C:/Users/jonghoon.kim/Zotero/storage/L4NVG5MI/Olsen et al. - 2001 - Restaurant-associated outbreak of Salmonella typhi.pdf","8","51993","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 96","Olsen 2001","Republic of Nauru","1998-1999","50","19","9",,"0.5","FALSE","FALSE","50 met the clinical case definition; 19 had ANY specimen tested, 31 had none",,"9",,"0.38","patients","blood, stool and urine pooled in the confirmed definition; blood-specific positives reported separately (9 of 19)","Fever for >=3 days since 1 Oct 1998 plus >=1 of chills, sweats, headache, anorexia, malaise, weakness, diarrhoea, constipation, abdominal pain, cough, vomiting, in a resident of Nauru","Not reported as a clinical rule. Case-finding was retrospective and lab-record-driven: entry was via a positive culture OR a Widal screening record OR Typhoid-Committee recall, so the tested group is by construction the group that reached laboratory attention","Monthly epidemic curve available (Fig 1, 7 bars, confirmed vs clinical)","The 19 is ANY-specimen tested, not blood; a blood-tested denominator is absent. Only 9 of 50 clinical cases would have been blood-confirmed","high","primary paper reviewed (Zotero L4NVG5MI)","not eligible: tested denominator is any-specimen, not blood","not eligible","exclude","Olsen 2001","ALL 19 TESTED WERE POSITIVE (100% positivity, no test-negatives reported). That is diagnostic of non-systematic ascertainment: a systematically cultured suspect series would produce negatives. This is the clearest empirical illustration of the proposed exclusion rule (positivity >= Se_BC is unattainable for any admissible pi). No vaccination occurred; Vi appears only in a hypothetical cost model."
"W Pacific",43,"Yang HH et al., 2001. An outbreak of typhoid fever, Xing-An County, People's Republic of China, 1999: estimation of the field effectiveness of Vi polysaccharide typhoid vaccine. J Infect Dis 183:1775-1780.","pre-2000","READ - 2 blood-positive, no denominator ('done whenever possible'); 22/24 on Widal","exclude","#609","An outbreak of typhoid fever, Xing-An County, People's Republic of China, 1999: estimation of the field effectiveness of Vi polysaccharide typhoid vaccine","Yang, H. H.; Kilgore, P. E.; Yang, L. H.; Park, J. K.; Pan, Y. F.; Kim, Y.; Lee, Y. J.; Xu, Z. Y.; Clemens, J. D.","2001","10.1086/320729","C:/Users/jonghoon.kim/Zotero/storage/KX4KNIIV/Yang et al. - 2001 - An outbreak of typhoid fever, Xing-An County, Peop.pdf","6","50936","outbreak vaccine-effectiveness study","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 43","Yang 2001","Xing-An County Middle School, Guangxi, China","1999","24",,"2",,,"FALSE","FALSE","24 met a composite case definition; the number offered blood culture is never stated",,"2",,,"patients","BLOOD culture only (clean scope) plus Widal serology","S. Typhi by blood culture OR (temp >=38.5 C with fever >=24h) AND >=1 of fatigue/headache/malaise/anorexia/abdominal pain/constipation AND a positive Widal titre","Explicit capacity gate: 'patients routinely had blood specimens taken at the time of admission for diagnosis of typhoid fever by use of the Widal test, and BLOOD CULTURES WERE DONE WHENEVER POSSIBLE'. Widal was routine; culture was opportunistic","Weekly epidemic curve available (Fig 1, 8 weeks)","Blood-specific numerator (2) exists but has no denominator - the count offered culture is never given","high","primary paper reviewed (Zotero KX4KNIIV)","not eligible: no blood-culture denominator","not eligible","exclude","Yang 2001","One of Appiah's eight blood-culture-alone papers, but unusable: only 2/24 cases are culture-confirmed and 22/24 rest on Widal. 'Blood cultures were done whenever possible' is the second explicit statement that the culture gate is CAPACITY, not severity. School Vi campaign: 1701/2111 (81%) vaccinated; VE 71% (95% CI 34-87)."
"W Pacific",58,"Anita S, Amir KM, Fadzilah K, Ahamad J, Noorhaida U, Marina K, Paid MY, Hanif Z, 2012. Risk factors for typhoid outbreak in Sungai Congkak recreational park, Selangor 2009. Med J Malaysia 67:12-16.","in Koh window","READ - case definition REQUIRES isolation; pi=1 by construction","exclude","#35","Risk factors for typhoid outbreak in Sungai Congkak Recreational Park, Selangor 2009","Anita, S.; Amir, K. M.; Fadzilah, K.; Ahamad, J.; Noorhaida, U.; Marina, K.; Paid, M. Y.; Hanif, Z.","2012","","C:/Users/jonghoon.kim/Zotero/storage/UXDNSEK9/Anita et al. - 2012 - Risk factors for typhoid outbreak in Sungai Congka.pdf","5","29011","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 58","Anita 2012","Sungai Congkak Recreational Park, Selangor, Malaysia","2009","45",,"4",,,"FALSE","FALSE","No syndromic denominator exists; 45 clinic-record suspects sit outside the case definition",,"4",,,"patients","blood OR urine OR stool pooled in the case definition; active screening used stool only","A person with or without clinical features, WITH ISOLATION of S. typhi in blood or urine or stool, who had visited the park on 27 Jan 2009","Passive, clinician-initiated and confirmation-gated. The case definition requires isolation, so untested suspects can never become cases. The 4 index cases were blood-cultured as paediatric inpatients, i.e. admission was the de facto blood-culture gate; the retrospective arm cultured stool only, weeks after onset","Daily epidemic curve available (Fig 1)","pi = 1 by construction: cases are defined by culture positivity, so no independent denominator exists","high","primary paper reviewed (Zotero UXDNSEK9)","not eligible: confirmed-case series with no syndromic denominator","not eligible","exclude","Anita 2012","Cleanest example of the confirmed-case-series pattern. The 12 cases are pooled blood/urine/stool and never disaggregated; only the 4 index paediatric cases are known blood-culture. Paper has numerous internal inconsistencies (68 vs 75 controls; 14 vs 39 suspects; OR 13 vs 14 vs 14.44). Typhoid vaccination of food handlers recommended post-outbreak with no numbers."
"W Pacific",65,"Yan M, Li X, Liao Q, Li F, Zhang J, Kan B, 2016. The emergence and outbreak of multidrug-resistant typhoid fever in China. Emerg Microbes Infect 5:e62.","in Koh window","READ - blood OR stool pooled (55); no denominator. Epi data in Chinese ref (Dang 2011)","exclude","#607","The emergence and outbreak of multidrug-resistant typhoid fever in China","Yan, M.; Li, X.; Liao, Q.; Li, F.; Zhang, J.; Kan, B.","2016","10.1038/emi.2016.62","C:/Users/jonghoon.kim/Zotero/storage/GQ2VZCBZ/Yan et al. - 2016 - The emergence and outbreak of multidrug-resistant .pdf","7","45802","molecular outbreak report","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 65","Yan 2016","Shache county, Xinjiang, China","2010","253",,,,,"FALSE","FALSE","253 reported cases (55 laboratory-confirmed, 198 clinically diagnosed); culture frame not stated",,,,,"patients","blood OR stool, pooled and unseparable","Persistent fever >=38 C for >3 days with headache, hypoeosinophilia OR a positive Widal test, without other diagnosed cause","Effectively not reported: 'blood and stool samples were collected for the suspected cases' with no counts and no selection rule","No epidemic curve in this paper; narrative timing only","No tested denominator; 55 isolates are blood-or-stool with no breakdown","unassessable","primary paper reviewed (Zotero GQ2VZCBZ)","not eligible: no tested denominator and specimens pooled","not eligible","source reconstruction needed","Yan 2016","This is a MOLECULAR paper, not the primary outbreak report. Epi denominators and any epidemic curve are in the Chinese-language reference (Dang J et al., Occup and Health 2011;27:1288-1289), which would need retrieval and translation. The case definition itself admits Widal-positive patients as 'clinically diagnosed'. Vi vaccine was used as a control measure with no coverage reported."
