"covidence_id","source_title","authors","publication_year","doi","zotero_pdf","pdf_pages","searchable_characters","record_type","prior_audit_source","summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"#153","Typhoid Fever surveillance and vaccine use - South-East Asia and Western Pacific regions, 2009-2013","Date, K. A.; Bentsi-Enchill, A. D.; Fox, K. K.; Abeysinghe, N.; Mintz, E. D.; Khan, M. I.; Sahastrabuddhe, S.; Hyde, T. B.",2014,"","C:/Users/jonghoon.kim/Zotero/storage/TIHQ646Q/Date et al. - 2014 - Typhoid Fever surveillance and vaccine use - South.pdf",6,36770,"multi-country surveillance report","","#153","Date 2014","South-East Asia and Western Pacific regions","2009-2013","","","","","","FALSE","FALSE","","","","","","patients","","","","","Country-level surveillance summary with heterogeneous case definitions; no outbreak-specific tested denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Date 2014","Useful background on surveillance and laboratory capacity, not a unique outbreak observation."
"#154","Genomic epidemiology of Salmonella Typhi in Central Division, Fiji, 2012 to 2016","Davies, M. R.; Duchene, S.; Valcanis, M.; Jenkins, A. P.; Jenney, A.; Rosa, V.; Hayes, A. J.; Strobel, A. G.; McIntyre, L.; Lacey, J. A.; Klemm, E. J.; Wong, V. K.; Sahukhan, A.; Thomson, H.; Page, A.; Hocking, D.; Wang, N.; Tudravu, L.; Rafai, E.; Dougan, G.; Howden, B. P.; Crump, J. A.; Mulholland, K.; Strugnell, R. A.",2022,"10.1016/j.lanwpc.2022.100488","C:/Users/jonghoon.kim/Zotero/storage/AR8ILA4P/Davies et al. - 2022 - Genomic epidemiology of Salmonella Typhi in Centra.pdf",11,77946,"genomic case series","","#154","Davies 2022","Central Division, Fiji","2012-2016","","","","","","FALSE","FALSE","","","240","","","patients","240 culture-confirmed blood isolates plus 10 stool isolates used for genomics","","","","Confirmed-isolate series; number of suspected patients cultured is not reported.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Fiji 2012-2016 genomic surveillance","Genomic clustering can identify outbreak structure, but the paper contains no blood-culture-tested clinical denominator."
"#160","Epidemiological Investigation of a Typhoid Outbreak","Dhadwal, B. S.; Shetty, R. A.",2008,"10.1016/s0377-1237(08)80103-7","C:/Users/jonghoon.kim/Zotero/storage/DVZCQ6W9/Dhadwal and Shetty - 2008 - Epidemiological Investigation of a Typhoid Outbrea.pdf",2,12764,"outbreak investigation","covidence_no_timeseries_ppv_audit.csv","#160","Dhadwal 2008","School, military station, central India","2005","98","92","5","0.054","2.62","FALSE","FALSE","98 students admitted as typhoid cases during a known outbreak; active case-finding across 3,313 students","92","5","0.054","0.939","patients","BLOOD culture only (n=92), stated verbatim; Widal serology on all 98. No stool, urine or bone marrow","No standalone syndromic definition. Confirmed = fever >=3 days + positive blood culture; probable = fever >=3 days + positive serodiagnosis without isolation; possible = admitted on clinical suspicion during the outbreak. The effective frame is admission during a known outbreak","NEAR-UNIVERSAL, NOT severity-gated. All 98 were admitted to the same military hospital; all 98 had Widal; 'Ninety two blood cultures were taken' (93.9%). The paper does not say why 6 were not cultured. No severity, consent or capacity gate described","No epidemic curve printed, though the text references a time-distribution graph showing multiple peaks","COMPATIBLE and the best available: a stated blood-only tested count over a syndromic frame, with 93.9% coverage","low","primary paper reviewed (Zotero DVZCQ6W9); MJAFI 2008;64:241-242","eligible: 5/92 with a stated blood-only denominator and 93.9% coverage","candidate: lowest verification-bias risk of ANY outbreak study located in this project","PRIMARY NEW CANDIDATE","Dhadwal 2008","THE FIND. 93.9% of suspected cases blood-cultured - better coverage than all three current anchors (Aye 44.9%, Neil 9.4%, Kabwama 3.6%). Positivity 5/92 = 5.4% implies pi ~0.09 at Se_BC 0.62, FAR below Aye 0.26 / Neil 0.58 / Kabwama 0.25. TWO COMPETING EXPLANATIONS THE MODEL CANNOT SEPARATE: (a) genuinely low pi because the denominator is loose - 86/98 were 'probable' on Widal alone at 1/160 H, 1/200 O, so the frame is closer to 'febrile children admitted during an outbreak' than a typhoid syndrome; (b) antibiotic-depressed Se_BC - the authors attribute the low yield to prior antibiotic therapy. Also: the paper reports the same 5 cases as 5.43% (of 92) in the text and 5.10% (of 98) in Table 1."
"#163","Enteric fever in India: current scenario and future directions","Divyashree, S.; Nabarro, L. E.; Veeraraghavan, B.; Rupali, P.",2016,"10.1111/tmi.12762","C:/Users/jonghoon.kim/Zotero/storage/TVQ3G6CU/Divyashree et al. - 2016 - Enteric fever in India current scenario and futur.pdf",8,54043,"narrative review","","#163","Divyashree 2016","","","","","","","","FALSE","FALSE","","","","","","patients","","","","","","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Divyashree 2016","Narrative review of enteric fever in India. It contains background diagnostic-performance information but no unique outbreak observation."
"#180","Importation of Extensively Drug-Resistant Salmonella enterica Serovar Typhi Cases in Ontario, Canada","Eshaghi, A.; Zittermann, S.; Bharat, A.; Mulvey, M. R.; Allen, V. G.; Patel, S. N.",2020,"10.1128/aac.02581-19","C:/Users/jonghoon.kim/Zotero/storage/HKIPT284/Eshaghi et al. - 2020 - Importation of Extensively Drug-Resistant Salmonel.pdf",6,29887,"travel-associated genomic case series","","#180","Eshaghi 2020","Ontario, Canada; exposure in Pakistan","2018-2019","","","","","","FALSE","FALSE","","","9","","","patients","9 bloodstream isolates and 1 stool isolate among 10 XDR traveler cases","","","","Culture-confirmed case series; no suspected denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Eshaghi 2020","Genomic linkage to Pakistan, not a diagnostic-yield study."
"#184","Investigation of a community outbreak of typhoid fever associated with drinking water","Farooqui, A.; Khan, A.; Kazmi, S. U.",2009,"10.1186/1471-2458-9-476","C:/Users/jonghoon.kim/Zotero/storage/7T9VLV9Y/Farooqui et al. - 2009 - Investigation of a community outbreak of typhoid f.pdf",6,38074,"outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#184","Farooqui 2009","Nek Muhammad village, Karachi, Pakistan","2004","300","0","0",,"60","FALSE","FALSE","250 interviewed of >300 symptomatic; 100 purposively selected for stool",,,,,"patients","STOOL culture only; blood culture explicitly declined","Temperature >38 C since outbreak onset, abdominal discomfort, diarrhea, vomiting and weakness","Explicit purposive quota: '100 patients for stool sample collection who belonged to different age groups and families'. Blood declined because 'majority of patients were not ready to participate in blood sample collection' and because of prior antibiotics","Daily curve of symptom percentages (Fig 1, n=300); percentages not counts","Zero blood cultures; the 22/100 is stool positivity in an age/family quota sample, not a random subset of suspected cases","unassessable","primary paper reviewed (Zotero 7T9VLV9Y)","not eligible: no blood culture performed","not eligible","exclude","Farooqui 2009","STOOL ONLY (22/100). Carries the single most explicit statement of the culture-selection mechanism in the whole review: blood culture was abandoned for CONSENT and PRIOR ANTIBIOTICS, not severity. Quotable evidence for the verification-bias section even though the study itself is unusable."
"#199","Investigation of a typhoid fever epidemic in Moyale Sub-County, Kenya, 2014-2015","Galgallo, D. A.; Roka, Z. G.; Boru, W. G.; Abill, K.; Ransom, J.",2018,"10.1186/s41043-018-0144-2","C:/Users/jonghoon.kim/Zotero/storage/GJYYBQMR/Galgallo et al. - 2018 - Investigation of a typhoid fever epidemic in Moyal.pdf",5,21148,"outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#199","Galgallo 2018","Moyale Sub-County, Marsabit, Kenya","2014-2015","317","0","0",,,"FALSE","FALSE","317 suspected; 188 (59%) submitted a stool specimen",,,,,"patients","STOOL culture only; no blood culture performed. Widal serology on all 317","Any patient presenting with clinical signs and symptoms consistent with typhoid fever, including headache, fever, stomach pains, diarrhea, or chronic constipation","Self-selection by specimen submission: 188 of 317 'submitted a stool specimen suitable for culture'. No severity, serology or consent criterion stated; the paper does not explain the other 129","No epidemic curve; no figure or table of cases over time","Zero blood cultures, so no blood denominator exists at any level","unassessable","primary paper reviewed (Zotero GJYYBQMR)","not eligible: no blood culture performed","not eligible","exclude","Galgallo 2018","STOOL ONLY. 71/188 'showed growth' - the paper never states the organism was S. Typhi. Authors distrust their own results: 'the overall culture results are suspect because of rampant self-medication with antibiotics'. Would be miscoded if placed in any blood-culture stratum."
"#206","Assessment of Rapid Diagnostic Tests for Typhoid Diagnosis and Assessment of Febrile Illness Outbreaks in Fiji","Getahun Strobel, A.; Airs, S.; Nguyen, C.; Vadei, T. R.; Matanitobua, S.; Kama, M.; Watson, C. H.; Crump, J. A.; Mulholland, E. K.; Strugnell, R. A.; Parry, C. M.",2021,"10.4269/ajtmh.21-0771","C:/Users/jonghoon.kim/Zotero/storage/GZKSXPCW/Getahun Strobel et al. - 2021 - Assessment of Rapid Diagnostic Tests for Typhoid D.pdf",7,61889,"diagnostic case-control study","covidence_no_timeseries_ppv_audit.csv","#206","Getahun Strobel 2021","Fiji (Central, Northern, Western Divisions)","2016",,"125","49",,,"FALSE","FALSE","None - a designed case-control sample, not a consecutive series","125","49",,,"patients","blood culture (reference standard); RDTs on stored serum","No syndromic definition. Cases were blood-culture-confirmed typhoid; controls were febrile patients in four pre-specified diagnostic groups","Retrospective selection of archived sera by KNOWN diagnosis. The authors concede: 'the design with previously collected cases and controls, rather than consecutive patients presenting with fever'","No epidemic curve","pi = 1 by construction. The apparent 49/125 = 39.2% positivity is an artifact of the fixed 49:76 case:control design and must NOT be used","unassessable","primary paper reviewed (Zotero GZKSXPCW); Am J Trop Med Hyg 2021;106:543-549","not eligible: culture-defined cases in a design-fixed ratio","not eligible","exclude, but retain for two secondary numbers","Getahun Strobel 2021","SECONDARY VALUE despite being ineligible. (1) RDT accuracy vs blood culture: TUBEX Se 77.6/Sp 60.5; Typhidot Rapid 75.5/85.5; Test-It 57.1/93.4 - directly relevant to any future serology-informed PPV layer. (2) Cites background blood-culture positivity in Fiji health facilities = 20% (MHMS 2016 CWMH Pathology report), a facility-level positivity that could inform an endemic-surveillance prior."
"#209","Electronic surveillance of outbreaks in Lebanon","Ghosn, N.; Nasredine, A.; Baddour, Y. M.; Coulombier, D.; Nasserdine, S.",2008,"10.1186/1753-6561-2-s3-s2","C:/Users/jonghoon.kim/Zotero/storage/ZK2BKJUC/Ghosn et al. - 2008 - Electronic surveillance of outbreaks in Lebanon.pdf",6,38264,"multi-disease surveillance methods","","#209","Ghosn 2008","Lebanon","2001-2007","","","","","","FALSE","FALSE","","","","","","patients","","","","","National electronic surveillance methods paper spanning multiple diseases; no typhoid outbreak testing frame.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Ghosn 2008","No outbreak-level blood-culture numerator/denominator pair is reported."
"#234","Notes from the Field: Typhoid Fever Outbreak Associated with an Asymptomatic Carrier at a Restaurant - Weld County, Colorado, 2015","Hancock-Allen, J.; Cronquist, A. B.; Peden, J.; Adamson, D.; Corral, N.; Brown, K.",2016,"10.15585/mmwr.mm6523a4","C:/Users/jonghoon.kim/Zotero/storage/B5STER4I/Hancock-Allen et al. - 2016 - Notes from the Field Typhoid Fever Outbreak Assoc.pdf",2,13077,"small outbreak report","appiah2020_unique_outbreak_ppv_audit.csv","#234","Hancock-Allen 2016","Weld County, Colorado, USA","2015","3",,,,,"FALSE","FALSE","Three culture-confirmed restaurant-associated patients; carrier investigation separate",,"3",,,"patients","patient isolates; employee screening used stool/rectal swabs","not assessed","not assessed","not assessed","Case ascertainment begins with culture confirmation; no independently defined suspected denominator.","unassessable","primary Zotero full text screened (Hancock-Allen et al. - 2016 - Notes from the Field Typhoid Fever Outbreak Assoc.pdf)","exclude: n<20","exclude: n<20","exclude","Hancock-Allen 2016","Three-patient outbreak linked to an asymptomatic food worker. Too small and confirmation-defined."
"#235","Typhoid Fever Surveillance, Incidence Estimates, and Progress Toward Typhoid Conjugate Vaccine Introduction - Worldwide, 2018-2022","Hancuh, M.; Walldorf, J.; Minta, A. A.; Tevi-Benissan, C.; Christian, K. A.; Nedelec, Y.; Heitzinger, K.; Mikoleit, M.; Tiffany, A.; Bentsi-Enchill, A. D.; Breakwell, L.",2023,"10.15585/mmwr.mm7207a2","C:/Users/jonghoon.kim/Zotero/storage/3KXCQCTX/Hancuh et al. - 2023 - Typhoid Fever Surveillance, Incidence Estimates, a.pdf",6,39932,"global surveillance report","","#235","Hancuh 2023","Worldwide","2018-2022","","","","","","FALSE","FALSE","","","","","","patients","","","","","Global surveillance and outbreak summary; no unique suspected/testing frame.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Hancuh 2023","Use as policy or burden context only, not as an outbreak PPV observation."
"#236","Draft Genome Sequence of an Extensively Drug-Resistant Salmonella enterica Serovar Typhi Strain from a Returned Traveler from Pakistan","Hao, S.; Veuthey, T.; Caldera, S.; Serpa, P. H.; Haller, B.; Tan, M.; Neff, N.; Madera, S.; Langelier, C.",2020,"10.1128/mra.00427-20","C:/Users/jonghoon.kim/Zotero/storage/Q4PFXI7V/Hao et al. - 2020 - Draft Genome Sequence of an Extensively Drug-Resis.pdf",3,13009,"single-isolate genome report","","#236","Hao 2020","California, USA; exposure in Pakistan","2020","","","","","","FALSE","FALSE","","1","1","1.000","","patients","single blood isolate","","","","Single confirmed traveler; no suspected denominator.","critical","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Hao 2020","Genome announcement for one XDR isolate."
"#253","Molecular mechanism of azithromycin resistance among typhoidal Salmonella strains in Bangladesh identified through passive pediatric surveillance","Hooda, Y.; Sajib, M. S. I.; Rahman, H.; Luby, S. P.; Bondy-Denomy, J.; Santosham, M.; Andrews, J. R.; Saha, S. K.; Saha, S.",2019,"10.1371/journal.pntd.0007868","C:/Users/jonghoon.kim/Zotero/storage/FK5BLLZ3/Hooda et al. - 2019 - Molecular mechanism of azithromycin resistance amo.pdf",16,84501,"passive isolate surveillance","","#253","Hooda 2019","Bangladesh","2009-2016","","","","","","FALSE","FALSE","","","1082","","","patients","1,082 typhoidal Salmonella isolates from passive pediatric surveillance","","","","Total febrile children cultured is not the analytic denominator; isolates were selected for resistance analysis.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Hooda 2019","Not an outbreak-specific suspected-case series."
"#261","Investigation of an outbreak of Salmonella Typhi in Battalgazi district, Malatya-Turkey","Iseri, L.; Bayraktar, M. R.; Aktaş, E.; Durmaz, R.",2009,"10.1590/s1517-838220090001000029","C:/Users/jonghoon.kim/Zotero/storage/5VBIWS7Y/Iseri et al. - 2009 - Investigation of an outbreak of Salmonella Typhi i.pdf",4,20474,"outbreak isolate series","covidence_no_timeseries_ppv_audit.csv","#261","Iseri 2009","Battalgazi, Malatya, Turkey","2003","10",,,,,"FALSE","FALSE","Ten culture-positive persons detected over two days; no independent suspect series","","7","","","patients","7 blood isolates and 3 stool isolates","Culture-positive persons identified by the microbiology laboratory","not assessed","not assessed","The ten are all culture-positive; the number tested is absent.","critical","primary Zotero full text screened (Iseri et al. - 2009 - Investigation of an outbreak of Salmonella Typhi i.pdf)","not eligible: n=10","not eligible","exclude","Iseri 2009","Do not interpret 7/10 as blood-culture positivity: the denominator mixes blood-positive and stool-positive confirmed cases."
